#Nsample
#Chi2
#O1 : x (arcsec)
#O1 : y (arcsec)
#O1 : emass
#O1 : theta (deg)
#O1 : rc (arcsec)
#O1 : sigma (km/s)
#O12 : x (arcsec)
#O12 : y (arcsec)
#O12 : sigma (km/s)
#O12 : rcut (arcsec)
#O13 : sigma (km/s)
#O13 : rcut (arcsec)
#O14 : sigma (km/s)
#O14 : rcut (arcsec)
#Redshift of 100.0
#Redshift of 200.0
#Redshift of 300.0
#Redshift of 400.0
3 687.083132 4.830804 0.519057 0.696888 77.725268 24.943700 1220.969469 1.449241 -0.506840 849.351193 6.863072 62.538226 20.669806 171.715349 4.288452 2.485028 1.317508 3.283663 2.639422 
3 688.257442 4.830804 0.143856 0.688732 77.754037 24.392652 1215.375526 1.406683 -0.472034 897.449745 5.885145 47.704443 1.273638 228.503607 1.998980 2.514749 1.301520 3.323335 2.767797 
3 694.156331 4.830804 0.387751 0.700653 77.665290 25.034824 1220.494470 1.373549 -0.345903 853.899030 6.900308 45.915375 18.749992 243.985447 2.367160 2.489982 1.307448 3.296041 2.669778 
3 687.104135 4.830804 -0.029426 0.703142 77.745054 24.783060 1216.127237 1.397641 -0.416424 879.029430 6.472395 58.251661 22.012688 276.582579 1.405611 2.467379 1.288951 3.307669 2.723104 
3 691.578607 4.830804 -0.151379 0.709280 77.655895 24.928346 1216.783879 1.358870 -0.326228 861.627815 6.974792 47.181926 20.137707 284.361067 1.227809 2.505475 1.300235 3.284046 2.733922 
4 694.899955 4.830804 0.696172 0.687079 77.837756 24.865326 1219.833256 1.420313 -0.611115 882.648401 6.129361 54.850199 4.604444 191.560154 3.474281 2.447161 1.306758 3.326669 2.708171 
4 700.974112 4.830804 0.043608 0.707963 77.701119 24.968551 1217.095748 1.323476 -0.387755 858.881642 6.981652 56.306080 7.207109 241.791062 2.009501 2.489725 1.303986 3.282676 2.744677 
4 696.785173 4.830804 0.174171 0.704009 77.550110 24.952269 1218.965201 1.449241 -0.267418 837.150055 7.251747 9.810127 10.127431 210.539325 2.581948 2.604902 1.318832 3.265884 2.771182 
4 682.552088 4.830804 0.119044 0.695607 77.705510 24.639121 1216.628534 1.449241 -0.368004 884.428431 6.226126 42.221541 24.943964 286.845511 1.201558 2.501410 1.294720 3.320326 2.742323 
4 683.108639 4.830804 0.032084 0.704507 77.661976 24.867703 1217.752209 1.449241 -0.338625 863.869707 6.825511 47.685303 4.715705 275.178959 1.524969 2.494014 1.303441 3.292169 2.711818 
4 693.999907 4.830804 0.483496 0.691914 77.695077 24.863947 1219.873020 1.360842 -0.358490 871.010118 6.345534 30.296162 17.469318 254.970744 1.925099 2.505339 1.298930 3.324091 2.711493 
4 691.452832 4.830804 0.251349 0.692844 77.694362 24.493311 1217.049016 1.449241 -0.450319 861.470047 6.464319 58.298864 13.858430 190.534835 3.382256 2.531553 1.319444 3.290882 2.761434 
4 700.148530 4.830804 0.648768 0.683939 77.759967 24.451689 1218.786013 1.349279 -0.533981 867.179795 6.157293 66.693225 0.741309 177.853089 4.144001 2.475688 1.324010 3.313262 2.738244 
4 681.806720 4.830804 -0.100872 0.701354 77.694521 24.624962 1215.995482 1.449241 -0.370931 877.053513 6.421519 54.998062 20.989993 291.088031 1.277455 2.492317 1.291729 3.306405 2.725072 
4 691.182142 4.830804 0.454473 0.683880 77.664733 24.357550 1218.459508 1.449241 -0.423970 862.387983 6.128190 47.943450 19.949730 185.402704 3.615985 2.564642 1.315635 3.307337 2.758638 
5 690.514399 4.830804 0.464915 0.692016 77.721274 24.850538 1220.466461 1.397641 -0.475458 863.460481 6.391558 44.765750 22.486242 193.680812 3.370908 2.526526 1.297244 3.306117 2.680166 
5 694.041364 4.830804 0.383734 0.695049 77.713094 24.810916 1219.499581 1.328237 -0.446009 861.503106 6.511064 52.660293 25.037170 206.945527 3.098162 2.509622 1.301408 3.301698 2.710106 
5 701.894967 4.830804 0.429409 0.689396 77.702030 24.500088 1216.799997 1.370503 -0.400699 866.012298 6.404896 53.617081 13.214757 210.402231 2.869906 2.509609 1.331079 3.303879 2.779472 
5 687.231604 4.830804 0.052291 0.698590 77.708864 24.734151 1216.810494 1.343204 -0.370106 885.063512 6.336270 41.164010 1.180743 303.754165 1.028585 2.491039 1.292869 3.316086 2.731462 
5 681.422976 4.830804 0.150816 0.699554 77.743704 24.888088 1218.346622 1.420313 -0.461850 876.192262 6.499226 49.048524 1.408248 232.605034 2.181390 2.482873 1.294883 3.303399 2.681043 
