Field,IAU,RA,Dec,F250,e_F250
CS-Abell-370,2HERMES S250 SF J023913.4-013022,39.806137,-1.5061319,0,3.9490995
CS-Abell-370,2HERMES S250 SF J023914.8-012905,39.811703,-1.4848248,8.045542,1.9807471
CS-Abell-370,2HERMES S250 SF J023914.9-013100,39.812145,-1.5168288,27.337017,1.4692203
CS-Abell-370,2HERMES S250 SF J023915.1-013019,39.813053,-1.5053325,34.878773,1.5548394
CS-Abell-370,2HERMES S250 SF J023915.7-012824,39.81565,-1.4734986,13.111182,1.782011
CS-Abell-370,2HERMES S250 SF J023915.9-013028,39.81663,-1.5079559,11.259589,1.4383812
CS-Abell-370,2HERMES S250 SF J023916.0-013008,39.816692,-1.502297,0,6.741057
CS-Abell-370,2HERMES S250 SF J023916.2-013220,39.81754,-1.5391423,6.4184656,1.5849166
CS-Abell-370,2HERMES S250 SF J023917.0-013233,39.82086,-1.5427024,0,3.6771445
CS-Abell-370,2HERMES S250 SF J023917.2-013108,39.82194,-1.5191122,6.230043,1.2411892
CS-Abell-370,2HERMES S250 SF J023917.5-013305,39.82325,-1.5515995,4.9766016,1.6632013
CS-Abell-370,2HERMES S250 SF J023917.8-012943,39.8242,-1.4955121,5.6909437,1.3483028
CS-Abell-370,2HERMES S250 SF J023918.3-013144,39.826538,-1.5290316,9.436531,1.3119015
CS-Abell-370,2HERMES S250 SF J023919.7-013148,39.83244,-1.5300962,16.227512,1.2147117
CS-Abell-370,2HERMES S250 SF J023920.4-013000,39.835407,-1.5000732,0,5.0695353
CS-Abell-370,2HERMES S250 SF J023921.1-013151,39.838207,-1.530857,0,3.3393521
CS-Abell-370,2HERMES S250 SF J023921.3-013054,39.838978,-1.5151074,0,4.9965444
CS-Abell-370,2HERMES S250 SF J023921.9-013033,39.8416,-1.5094333,15.201457,1.0911181
CS-Abell-370,2HERMES S250 SF J023922.0-013418,39.841896,-1.5719414,0,2.998503
CS-Abell-370,2HERMES S250 SF J023922.9-013242,39.8455,-1.5452498,27.773876,1.176333
CS-Abell-370,2HERMES S250 SF J023923.1-012746,39.846302,-1.4629474,8.604111,1.6289439
CS-Abell-370,2HERMES S250 SF J023923.1-013027,39.846336,-1.5076611,0,5.432933
