Catalog of Fluxes for Abell 2218 using /data/mercado/SPIRE/hermes_clusters/a2218_PSW_nr_1.fits 
Mean percent error of XID flux with HeDam Flux is: 113.47734263724601 
Source Num     Pixel x          Pixel y     HeDam Flux         XID flux     DAO flux     Peak Flux 
92              92.49468       68.47822       0.00000          0.04033        0.01114        0.01912  
93              154.96582       69.11510       0.03725          0.01426        0.02791        0.02690  
94              207.46290       70.62338       0.00000          0.00698        0.00739        0.02546  
95              107.33022       71.61531       0.00000          0.03043        0.00873        0.00866  
96              139.40992       70.85186       0.00000          0.01170        0.01257        0.01147  
97              146.21506       70.97133       0.01608          0.02845        0.02191        0.01996  
98              179.75308       71.61313       0.00000          0.00377        0.01180        0.00903  
99              210.86079       71.71793       0.00000          0.01811        0.00881        0.00925  
100              163.22653       72.00330       0.00405          0.00302        0.00495        0.02690  
101              96.15616       73.32633       0.00000          0.03257        0.02245        0.01155  
102              186.06853       72.82928       0.04005          0.01159        0.04064        0.03771  
103              228.59950       72.22615       0.01467          0.02519        0.00642        0.01202  
104              113.65258       73.40141       0.00000          0.02254        0.01151        0.01314  
105              128.96217       73.91860       0.00936          0.00171        0.01521        0.01163  
106              174.88664       74.48250       0.00000          0.00804        0.01365        0.01859  
107              220.81495       73.74492       0.00000          0.01282        0.01679        0.01265  
108              79.63735       74.64721       0.02197          0.00254        0.02034        0.01797  
109              181.68840       75.21783       0.00000          0.01432        0.02528        0.01555  
110              190.92225       74.94348       0.02460          0.02220        0.02737        0.01337  
111              200.40077       74.31563       0.00000          0.00337        0.00518        0.00911  
112              210.59754       76.33685       0.00000          0.02628        0.01038        0.00925  
113              74.29533       75.45074       0.00000          0.00454        0.01532        0.01116  
114              145.72846       75.59128       0.02729          0.02144        0.01837        0.01996  
115              149.37273       76.19213       0.00000          0.01464        0.01070        0.01996  
116              93.98078       76.87336       0.00000          0.00726        0.00865        0.01155  
117              140.38366       77.45162       0.01532          0.01367        0.01115        0.01266  
118              159.08919       77.99867       0.00000          0.00803        0.00583        0.01029  
119              137.95435       77.57239       0.00000          0.00770        0.00736        0.01266  
120              212.04802       77.96328       0.00000          0.02437        0.02195        0.00925  
121              231.25312       75.66120       0.00128          0.02134        0.00492        0.01202  
122              80.14145       78.96515       0.00000          0.00339        0.00904        0.01797  
123              119.73832       80.11053       0.00000          0.00238        0.00598        0.01314  
124              129.93874       78.89769       0.00614          0.00217        0.01116        0.01266  
125              201.84523       77.86109       0.00000          0.00313        0.00776        0.00911  
126              100.54871       79.79322       0.03288          0.02001        0.02309        0.00887  
127              196.73766       79.58256       0.02046          0.00296        0.02275        0.00911  
128              220.54206       79.68366       0.00523          0.00343        0.00702        0.01265  
129              122.41219       81.54651       0.00693          0.00307        0.00491        0.01314  
130              183.13110       81.10151       0.01444          0.00268        0.01716        0.01055  
131              157.38506       82.13709       0.03023          0.02375        0.02716        0.01029  
132              162.24249       81.96213       0.02849          0.02540        0.02645        0.01050  
133              43.72487       82.22158       0.00580          0.01186        0.01716        0.01184  
134              57.33986       84.71801       0.00000          0.00587        0.01670        0.01514  
135              68.26415       84.11970       0.00000          0.00815        0.00640        0.02054  
136              113.91766       84.56095       0.00000          0.00297        0.00548        0.01314  
137              120.22758       82.32977       0.00000          0.00362        0.00700        0.01314  
138              135.28496       82.61370       0.00000          0.00454        0.01133        0.01266  
139              139.89911       82.37175       0.00000          0.01299        0.00590        0.01266  
140              145.24192       83.03125       0.00000          0.01393        0.01232        0.01996  
141              150.09879       83.21242       0.00000          0.00571        0.00526        0.01029  
142              175.84086       82.94452       0.00000          0.01055        0.01269        0.00901  
143              208.38325       82.86741       0.00000          0.00782        0.00488        0.01266  
144              212.52225       80.54545       0.00000          0.03255        0.00452        0.00925  
145              84.77479       83.56647       0.00000          0.01417        0.02101        0.01610  
146              100.07557       84.17461       0.04947          0.02505        0.05131        0.01063  
147              49.56921       84.70426       0.00580          0.00451        0.00914        0.01184  
148              169.28066       84.91221       0.00000          0.01109        0.00812        0.01136  
149              39.62217       86.02929       0.01388          0.00432        0.00671        0.01025  
150              88.42549       85.77272       0.00000          0.00656        0.00625        0.01610  
151              184.09011       85.84403       0.00493          0.00285        0.00489        0.01055  
152              206.66920       86.28030       0.00964          0.00364        0.01251        0.01266  
153              58.80721       86.56976       0.00000          0.02110        0.02058        0.02054  
154              75.31898       86.90626       0.00000          0.00490        0.01121        0.01558  
155              81.14436       86.52107       0.00000          0.01494        0.02058        0.01558  
156              115.13542       86.47860       0.00000          0.00524        0.00522        0.01314  
157              63.66939       87.74333       0.00000          0.02035        0.00955        0.02054  
158              129.70458       88.19793       0.00720          0.00196        0.00791        0.01515  
159              142.08565       88.85134       0.00000          0.00433        0.00507        0.01028  
160              155.43670       89.39552       0.00592          0.00208        0.00843        0.01029  
161              187.96609       88.91476       0.03414          0.00979        0.03214        0.02711  
162              200.83156       89.07740       0.01045          0.00210        0.00908        0.02546  
163              227.29069       89.31929       0.00128          0.00789        0.01793        0.01079  
164              116.11253       89.71679       0.00000          0.00566        0.01486        0.01314  
165              214.42031       90.27426       0.01085          0.00232        0.00883        0.01266  
166              68.05550       90.96086       0.00000          0.01471        0.00815        0.01179  
167              70.48097       90.58893       0.00000          0.00591        0.01182        0.01179  
168              167.57098       91.32949       0.00000          0.00210        0.00468        0.01136  
169              119.27108       91.51133       0.00000          0.00497        0.00756        0.01314  
170              144.27037       92.27122       0.01279          0.00437        0.01603        0.01028  
171              196.45127       92.18169       0.00000          0.00194        0.00863        0.02546  
172              205.18754       92.45434       0.01275          0.00313        0.00966        0.02546  
