Catalog of Fluxes for Abell 2218 using /data/mercado/SPIRE/hermes_clusters/a2218_PSW_nr_1.fits 
Mean percent error of XID flux with HeDam Flux is: 72.55292814243826 
Source Num     Pixel x          Pixel y     HeDam Flux         XID flux     DAO flux     Peak Flux 
 0              148.35415       17.72403       0.05821          0.00925        0.01279        0.01582  
1              143.55651       22.60819       0.05821          0.00387        0.01252        0.01335  
2              160.40862       22.95574       0.02036          0.02441        0.02026        0.02228  
3              148.77408       23.45409       0.05821          0.00227        0.00631        0.01582  
4              135.28042       25.90835       0.00000          0.00155        0.00917        0.01587  
5              143.61653       25.76422       0.05821          0.00193        0.00862        0.01335  
6              142.83691       26.86225       0.05821          0.00153        0.00862        0.01335  
7              127.90387       26.50842       0.00000          0.00446        0.01138        0.01166  
8              146.31532       27.99619       0.05821          0.00147        0.00631        0.01335  
9              125.74488       29.17845       0.00000          0.00210        0.01138        0.01166  
10              164.96676       30.80366       0.03576          0.02339        0.03633        0.01287  
11              143.73659       32.31028       0.05821          0.03851        0.03553        0.01335  
12              168.62514       32.63953       0.03576          0.03143        0.03694        0.03879  
13              116.92896       33.10848       0.01821          0.00147        0.01101        0.01268  
14              129.52316       34.81848       0.00000          0.01826        0.01701        0.06085  
15              110.39196       34.54244       0.02185          0.00731        0.01778        0.01263  
16              120.04751       36.71452       0.01821          0.00146        0.01101        0.01692  
17              154.83153       34.20603       0.02036          0.01490        0.02010        0.02740  
18              125.68493       35.37650       0.01821          0.01359        0.02219        0.01692  
19              130.60271       41.62852       0.01352          0.00730        0.01846        0.01767  
20              152.19290       40.75215       0.02036          0.00339        0.00690        0.02740  
21              176.54187       40.91325       0.03576          0.00385        0.02243        0.02088  
22              142.29744       43.85439       0.01352          0.00349        0.01062        0.01685  
23              164.30750       43.67979       0.00000          0.00783        0.01764        0.01287  
24              121.06704       44.88058       0.02185          0.01173        0.02280        0.01979  
25              173.30359       47.27945       0.00000          0.00118        0.01624        0.02088  
26              114.35006       47.25057       0.00615          0.00173        0.00711        0.01268  
27              101.57576       49.32642       0.00615          0.00203        0.01504        0.01670  
28              108.41269       50.23853       0.00615          0.00161        0.02104        0.01181  
29              163.04828       50.00988       0.00576          0.00671        0.01595        0.01201  
30              129.94307       50.10658       0.01352          0.00569        0.01122        0.01685  
31              175.94261       51.68336       0.00341          0.00578        0.01624        0.01707  
32              118.36824       52.42262       0.00875          0.00254        0.00860        0.01979  
33              165.62720       52.25380       0.00576          0.00627        0.01595        0.01201  
34              112.61079       54.11459       0.00615          0.00117        0.01543        0.01181  
35              157.53083       53.13008       0.00000          0.00108        0.00998        0.01201  
36              136.84003       54.12654       0.00000          0.01217        0.02388        0.01685  
37              162.86846       53.18390       0.00000          0.00745        0.01595        0.01201  
38              69.48985       55.21743       0.02062          0.00369        0.01544        0.04541  
39              95.03854       56.19632       0.03108          0.02548        0.03154        0.02508  
40              99.59651       57.06643       0.03108          0.00182        0.03154        0.02508  
41              113.69029       57.17462       0.00875          0.00331        0.01543        0.01715  
42              84.66306       58.14604       0.00000          0.00278        0.01309        0.04158  
43              147.69532       59.40037       0.00821          0.00355        0.01073        0.03177  
44              87.66171       59.32214       0.02183          0.00265        0.01309        0.01435  
45              109.13228       58.93258       0.00000          0.00459        0.01543        0.01715  
46              173.72393       59.77751       0.01548          0.00230        0.00780        0.01788  
47              60.01373       61.04900       0.02062          0.01451        0.02201        0.02337  
48              64.39186       60.23322       0.02062          0.00177        0.01528        0.02337  
49              74.40748       60.39568       0.00000          0.00160        0.00849        0.01990  
50              108.53254       59.53858       0.00000          0.00282        0.01761        0.01715  
51              158.61053       59.49608       0.02233          0.01305        0.02193        0.03994  
52              177.86217       60.88132       0.00341          0.03582        0.03880        0.02088  
53              46.21963       62.50019       0.01546          0.00249        0.01686        0.01454  
54              81.48432       62.23196       0.00000          0.01539        0.02568        0.01990  
55              119.74760       61.66266       0.01050          0.00618        0.01888        0.01715  
56              139.59892       61.98054       0.03154          0.02872        0.03724        0.03177  
57              94.31870       63.36634       0.03108          0.00092        0.01501        0.02508  
58              105.95361       63.88256       0.02016          0.01424        0.01761        0.01715  
59              132.40208       63.57663       0.00000          0.00323        0.01004        0.02408  
60              174.92348       61.60146       0.01548          0.00613        0.01430        0.01788  
61              75.42691       63.75574       0.00000          0.00267        0.00849        0.01990  
62              85.80240       63.71411       0.02183          0.01929        0.02568        0.01435  
63              41.60140       65.95590       0.00643          0.00166        0.00672        0.03487  
64              69.84926       65.31551       0.02062          0.00075        0.01274        0.02337  
65              112.49076       64.85464       0.00000          0.00128        0.01068        0.01715  
66              37.64310       65.99162       0.00643          0.00207        0.01396        0.01873  
67              54.91569       65.71074       0.03196          0.02733        0.03476        0.03377  
68              97.25737       65.79042       0.00000          0.00160        0.01501        0.01312  
69              104.33431       64.31454       0.00000          0.00110        0.01761        0.01312  
70              123.22608       65.43668       0.01031          0.00461        0.01888        0.02408  
71              135.76066       68.31661       0.00000          0.01711        0.01417        0.01148  
72              141.09833       66.76253       0.00000          0.01684        0.01718        0.01222  
73              184.69957       68.47101       0.00341          0.00133        0.00636        0.01851  
74              94.79838       68.47237       0.01223          0.00109        0.01501        0.01406  
75              16.65172       70.00994       0.00000          0.03731        0.04402        0.01362  
76              32.72488       70.47928       0.02242          0.00279        0.01233        0.02846  
77              54.85547       70.31276       0.00000          0.01560        0.02384        0.03377  
78              156.15192       70.91420       0.01729          0.00891        0.02527        0.06853  
79              165.50793       71.57990       0.02783          0.00101        0.02525        0.03241  
80              135.16096       71.35863       0.02548          0.02187        0.02041        0.01148  
81              59.89322       72.28105       0.00000          0.00229        0.01261        0.01272  
82              92.33931       73.79433       0.01223          0.00765        0.02429        0.01406  
83              128.14398       73.08069       0.00450          0.00164        0.00935        0.02408  
84              141.81812       72.91854       0.00446          0.01203        0.02031        0.01222  
85              187.27860       71.09289       0.02065          0.00300        0.00632        0.01851  
86              30.44536       77.15115       0.02242          0.01508        0.03027        0.02846  
87              44.59953       75.37015       0.00643          0.00864        0.01333        0.03487  
88              64.51111       75.22730       0.01233          0.00601        0.01482        0.01272  
89              71.82801       75.20364       0.05034          0.03231        0.05561        0.04559  
90              145.71648       74.47847       0.00000          0.00482        0.00863        0.01222  
91              36.86273       76.19762       0.03118          0.02458        0.02587        0.01873  
92              41.06102       75.33992       0.03118          0.00610        0.01333        0.03487  
93              93.05896       75.54635       0.01223          0.02156        0.02429        0.01406  
94              190.93738       77.26671       0.02065          0.00153        0.00632        0.04706  
95              30.62532       76.61116       0.02242          0.01109        0.03027        0.02846  
96              84.84238       78.37813       0.00000          0.01179        0.01803        0.01800  
97              163.82882       76.76398       0.02783          0.01892        0.02525        0.03241  
98              57.37404       77.20094       0.00342          0.00140        0.00895        0.01272  
99              102.29497       79.09256       0.01703          0.01781        0.02186        0.01440  
100              122.50640       77.73672       0.00450          0.00144        0.00971        0.01493  
101              18.63014       78.88418       0.00000          0.00847        0.02350        0.02148  
102              132.64210       78.84667       0.00630          0.00893        0.01977        0.01493  
103              135.52088       79.17065       0.00421          0.00626        0.00617        0.01493  
104              182.12119       79.17520       0.02065          0.01359        0.01814        0.01851  
105              83.28298       80.02208       0.00968          0.01554        0.01803        0.04158  
106              174.14458       79.74558       0.02065          0.00213        0.00985        0.01851  
107              36.80238       81.68765       0.03118          0.01725        0.01497        0.01873  
108              90.41991       82.36230       0.00000          0.01098        0.01249        0.01406  
109              94.07836       83.09440       0.00000          0.00910        0.00976        0.01406  
110              101.09543       81.54054       0.02932          0.02285        0.02999        0.01814  
111              17.43032       82.65810       0.00000          0.01477        0.02377        0.02379  
112              70.14839       83.08159       0.00000          0.00158        0.00924        0.01539  
113              45.43864       83.98625       0.00000          0.00568        0.00836        0.01873  
114              77.94505       85.33791       0.00708          0.01384        0.01479        0.01622  
115              113.15032       85.60870       0.01238          0.00199        0.00928        0.01814  
116              136.42056       84.27065       0.00881          0.00366        0.01257        0.01493  
117              164.48885       85.80598       0.01902          0.01227        0.01639        0.01287  
118              185.72003       86.03903       0.02065          0.00737        0.01103        0.01450  
119              54.43473       87.25681       0.00940          0.00081        0.01136        0.02669  
