Field,IAU,RA,Dec,F500,e_F500
CD-Abell-2218,2HERMES S500 SF J163426.4+661532,248.61015,66.2589,34.03247,0.8275089
CD-Abell-2218,2HERMES S500 SF J163427.8+661709,248.6162,66.28588,7.288696,0.70069206
CD-Abell-2218,2HERMES S500 SF J163430.7+661031,248.62827,66.17537,14.747453,0.7339685
CD-Abell-2218,2HERMES S500 SF J163433.2+661316,248.63857,66.22116,34.131573,0.6118406
CD-Abell-2218,2HERMES S500 SF J163435.5+661516,248.6481,66.25447,60.8111,0.6477907
CD-Abell-2218,2HERMES S500 SF J163437.5+661059,248.65645,66.18308,21.765373,0.5422763
CD-Abell-2218,2HERMES S500 SF J163437.9+661245,248.65813,66.21277,16.630766,0.59253246
CD-Abell-2218,2HERMES S500 SF J163438.3+661616,248.65999,66.27118,16.283634,1.0412637
CD-Abell-2218,2HERMES S500 SF J163442.3+661038,248.67645,66.17733,17.258915,0.5738049
CD-Abell-2218,2HERMES S500 SF J163445.1+661126,248.68817,66.19076,10.951517,0.77763355
CD-Abell-2218,2HERMES S500 SF J163445.8+661106,248.691,66.18526,27.222782,0.78724486
CD-Abell-2218,2HERMES S500 SF J163446.0+660709,248.69171,66.11927,26.53507,0.8285106
CD-Abell-2218,2HERMES S500 SF J163446.5+660639,248.69386,66.11097,17.54537,0.79295987
CD-Abell-2218,2HERMES S500 SF J163449.4+661625,248.70612,66.27388,2.061641,0.5520017
CD-Abell-2218,2HERMES S500 SF J163449.8+660754,248.70767,66.13183,0.52638435,0.7525159
CD-Abell-2218,2HERMES S500 SF J163450.1+661256,248.70882,66.21566,9.242162,0.5092735
CD-Abell-2218,2HERMES S500 SF J163450.3+660936,248.70996,66.16014,6.7527375,0.5294352
CD-Abell-2218,2HERMES S500 SF J163452.2+661716,248.71783,66.28791,0,0.6261385
CD-Abell-2218,2HERMES S500 SF J163455.4+661307,248.73103,66.21885,18.679028,0.6334481
CD-Abell-2218,2HERMES S500 SF J163458.7+661212,248.74493,66.20358,5.9535117,0.51714826
CD-Abell-2218,2HERMES S500 SF J163459.3+661356,248.74742,66.23238,26.000574,0.54906017
CD-Abell-2218,2HERMES S500 SF J163459.4+661123,248.7477,66.18984,7.788256,0.56406343
CD-Abell-2218,2HERMES S500 SF J163459.5+661316,248.74814,66.2212,5.666876,0.5911824
CD-Abell-2218,2HERMES S500 SF J163500.9+661054,248.75414,66.18193,5.6737256,0.56787467
CD-Abell-2218,2HERMES S500 SF J163501.1+661455,248.7547,66.24869,8.347186,0.5527111
CD-Abell-2218,2HERMES S500 SF J163501.6+660907,248.75699,66.152214,4.1533146,0.48907351
CD-Abell-2218,2HERMES S500 SF J163505.2+661213,248.77184,66.20366,9.655302,0.76479423
CD-Abell-2218,2HERMES S500 SF J163506.0+662013,248.77539,66.33695,7.768856,0.7161497
CD-Abell-2218,2HERMES S500 SF J163506.3+660650,248.7766,66.113914,13.376571,0.6854263
CD-Abell-2218,2HERMES S500 SF J163506.4+661730,248.77702,66.29189,19.001802,0.6912753
CD-Abell-2218,2HERMES S500 SF J163506.8+661701,248.77855,66.28373,8.510134,0.89317846
CD-Abell-2218,2HERMES S500 SF J163507.5+661619,248.78156,66.27219,0.8062101,0.872375
CD-Abell-2218,2HERMES S500 SF J163508.9+661316,248.78732,66.22128,11.08878,0.5397876
CD-Abell-2218,2HERMES S500 SF J163509.1+660959,248.78825,66.16658,3.9829848,0.4886305
CD-Abell-2218,2HERMES S500 SF J163510.5+660807,248.79407,66.135506,9.104042,0.49340424
CD-Abell-2218,2HERMES S500 SF J163511.3+660641,248.79726,66.11161,9.191168,0.71209544
CD-Abell-2218,2HERMES S500 SF J163511.5+661240,248.79796,66.21113,13.553079,0.6351106
CD-Abell-2218,2HERMES S500 SF J163511.7+661632,248.7989,66.27582,20.820627,1.04673
CD-Abell-2218,2HERMES S500 SF J163512.6+661811,248.8026,66.30332,2.2014241,0.60852903
CD-Abell-2218,2HERMES S500 SF J163512.9+661208,248.80412,66.20234,7.9280424,0.54533935
CD-Abell-2218,2HERMES S500 SF J163514.1+660929,248.80896,66.15823,4.3530374,0.507011
CD-Abell-2218,2HERMES S500 SF J163514.4+661331,248.81029,66.2254,2.6488369,0.5133147
