#REFERENCE 3 39.9711520 -1.5822620
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   564   676.258  -621.401   918.403     0.002     0.002     1.000      0.00  -1122151.1  271615.4    ++
   563  1730.623   172.237  1739.173     0.000     0.000     1.000      0.00  -1453776.0  -60009.5    ++
   561  -194.240   618.697   648.472     0.003     0.003     1.000      0.00  -913796.6  479969.9    ++
   560  -454.750   -26.624   455.529     0.005     0.005     1.000      0.00  -777589.7  616176.8    ++
   558    92.212  1720.340  1722.810     0.001     0.001     1.000      0.00  -1435139.6       0.0    ++
   556   587.380   877.014  1055.542     0.001     0.001     1.000      0.00  -1171703.7  263435.9    ++
   555  1519.359  -730.020  1685.640     0.000     0.000     1.000      0.00  -1440250.3   -5110.8    ++
   552  -166.725   880.861   896.501     0.002     0.002     1.000      0.00  -1081372.6  353766.9    ++
   550  -475.818   339.667   584.616     0.004     0.004     1.000      0.00  -880189.8  554949.7    ++
   548   204.923   384.184   435.420     0.007     0.007     1.001      0.00  -714714.4       0.0    ++
   544   809.808   519.989   962.381     0.001     0.001     1.000      0.00  -1130955.8  -416241.4    ++
   542   739.329  -657.981   989.721     0.001     0.001     1.000      0.00  -1160416.1  -445701.7    ++
   539  1783.674   217.758  1796.917     0.000     0.000     1.000      0.00  -1471236.7       0.0    ++
   537   -95.557  -729.276   735.510     0.002     0.002     1.000      0.00  -1005844.0  465392.7    ++
   534  1599.971  1344.430  2089.832     0.000     0.000     1.000      0.00  -1547466.5  -76229.8    ++
   530   123.086  -545.618   559.330     0.004     0.004     1.000      0.00  -874115.4  597121.3    ++
   529  1246.223  1796.256  2186.232     0.000     0.000     1.000      0.00  -1569738.0       0.0    ++
   528  -203.507  1395.704  1410.462     0.001     0.001     1.000      0.00  -1325904.3  243833.7    ++
   524  -248.314  -330.422   413.326     0.006     0.006     1.001      0.00  -735288.5  834449.5    ++
   523  -240.346  1075.331  1101.864     0.001     0.001     1.000      0.00  -1192346.7  377391.3    ++
   522   850.298  1283.476  1539.583     0.001     0.001     1.000      0.00  -1376240.2  193497.8    ++
   520  -207.489   782.297   809.346     0.002     0.002     1.000      0.00  -1028282.2  541455.8    ++
   515  1756.927   655.407  1875.193     0.000     0.000     1.000      0.00  -1491936.1       0.0    ++
   514  -510.353  -143.999   530.279     0.004     0.004     1.000      0.00  -850411.6  641524.4    ++
   513   -14.467  1368.816  1368.892     0.001     0.001     1.000      0.00  -1308771.7  183164.4    ++
   512   792.005   273.289   837.830     0.002     0.002     1.000      0.00  -1064332.8  427603.3    ++
   508  1582.721  1149.330  1956.007     0.000     0.000     1.000      0.00  -1511864.5       0.0    ++
   506  -194.586  -437.035   478.397     0.005     0.005     1.001      0.00  -800088.0  711776.6    ++
   505   363.228   907.838   977.805     0.002     0.002     1.000      0.00  -1127652.8  384211.7    ++
   503   165.385   959.844   973.988     0.002     0.002     1.000      0.00  -1123959.0  387905.6    ++
   502   229.837  -260.110   347.106     0.008     0.008     1.001      0.00  -663146.2  848718.4    ++
   498  -110.758   195.306   224.526     0.018     0.018     1.006      0.01  -431829.4       0.0    ++
   494   833.294  -366.293   910.247     0.002     0.002     1.000      0.00  -1117165.0  -685335.5    ++
   492  -289.958  1119.301  1156.248     0.001     0.001     1.000      0.00  -1218775.8  -786946.4    ++
   487  1487.173  -419.844  1545.301     0.001     0.001     1.000      0.00  -1393089.5       0.0    ++
   479  1373.241  -640.967  1515.464     0.001     0.001     1.000      0.00  -1383320.4       0.0    ++
   475  1751.354  1782.089  2498.616     0.000     0.000     1.000      0.00  -1645362.0  -262041.6    ++
   474  1177.113   622.557  1331.605     0.001     0.001     1.000      0.00  -1304979.5   78340.9    ++
   473  1012.827   291.295  1053.884     0.001     0.001     1.000      0.00  -1184428.1  198892.3    ++
   472   -34.696  -477.793   479.051     0.005     0.005     1.001      0.00  -800199.6  583120.7    ++
   470  1295.266  -526.616  1398.227     0.001     0.001     1.000      0.00  -1340372.9   42947.5    ++
   462  1074.114   184.141  1089.784     0.001     0.001     1.000      0.00  -1203826.0       0.0    ++
   459  -533.786   195.934   568.610     0.004     0.004     1.000      0.00  -873993.5       0.0    ++
   458  1296.359   529.481  1400.320     0.001     0.001     1.000      0.00  -1333519.6  -459526.1    ++
   455   455.383  -782.450   905.319     0.002     0.002     1.000      0.00  -1113606.9  -239613.4    ++
   454  -592.633  1150.383  1294.062     0.001     0.001     1.000      0.00  -1282802.6  -408809.1    ++
