#REFERENCE 0 39.9711520 -1.5822620
1496 39.8918638 -1.7013788 0.501170 0.499047 34.17995 0.4000 13.27 
1495 39.9310975 -1.5838510 0.508354 0.496106 79.65965 0.4000 13.25 
1494 39.6859326 -1.6319618 0.500315 0.499704 79.04961 0.4000 13.25 
1493 40.1400509 -1.4969904 0.500714 0.499359 65.87127 0.4000 13.25 
1492 40.0814266 -1.6048497 0.501711 0.498605 103.12752 0.4000 13.24 
1491 39.9792310 -1.6280864 0.507943 0.496912 170.41495 0.4000 13.22 
1490 39.7319244 -1.6909325 0.500376 0.499651 65.01870 0.4000 13.21 
1489 39.7005845 -1.4781130 0.500325 0.499697 109.03422 0.4000 13.21 
1488 39.8140578 -1.7535378 0.500479 0.499569 42.81335 0.4000 13.19 
1487 40.0520861 -1.7691137 0.500651 0.499458 156.22519 0.4000 13.17 
1486 39.8739894 -1.4788718 0.501349 0.498927 133.02561 0.4000 13.16 
1485 39.7320181 -1.6160405 0.500441 0.499591 80.60667 0.4000 13.15 
1484 39.8943206 -1.3623496 0.500561 0.499528 159.57750 0.4000 13.15 
1483 39.7599329 -1.5271064 0.500547 0.499501 102.20119 0.4000 13.15 
1482 39.8908878 -1.7087737 0.501082 0.499112 32.96205 0.4000 13.15 
1481 39.8275077 -1.7823224 0.500434 0.499610 36.13206 0.4000 13.14 
1480 39.9614381 -1.7048168 0.501649 0.498814 5.05048 0.4000 13.13 
1479 40.0724162 -1.3021121 0.500335 0.499701 21.42158 0.4000 13.11 
1478 39.8265205 -1.6157770 0.501056 0.499079 75.13100 0.4000 13.11 
1477 39.7772631 -1.4321251 0.500464 0.499583 125.26563 0.4000 13.10 
1476 39.9585752 -1.7329443 0.501136 0.499127 5.27117 0.4000 13.09 
1475 39.9996334 -1.4399194 0.501406 0.498944 13.38151 0.4000 13.09 
1474 40.1203921 -1.5305945 0.500977 0.499142 73.68651 0.4000 13.08 
1473 40.0383643 -1.4812781 0.501783 0.498630 37.82726 0.4000 13.06 
1472 39.8095336 -1.3719919 0.500415 0.499632 140.43442 0.4000 13.06 
1471 39.7540732 -1.5094286 0.500504 0.499539 106.10671 0.4000 13.05 
1470 40.1037844 -1.4623197 0.500824 0.499281 51.02860 0.4000 13.05 
1469 39.7575815 -1.5752430 0.500558 0.499490 89.89425 0.4000 13.04 
1468 40.0879806 -1.3187008 0.500354 0.499683 25.65737 0.4000 13.02 
1467 40.1427628 -1.6771070 0.500653 0.499422 118.94402 0.4000 13.00 
1466 40.0521097 -1.6690228 0.501653 0.498739 136.64434 0.4000 13.00 
1465 39.7760938 -1.3560634 0.500326 0.499705 137.32319 0.4000 13.00 
1464 39.8026710 -1.7354507 0.500494 0.499553 47.83471 0.4000 12.99 
1463 39.8558783 -1.4971871 0.501267 0.498958 122.46118 0.4000 12.98 
1462 39.8368871 -1.6533080 0.501012 0.499122 61.29407 0.4000 12.97 
1461 39.7948395 -1.4598648 0.500593 0.499473 121.95715 0.4000 12.97 
1460 40.1129931 -1.4595562 0.500751 0.499338 52.14897 0.4000 12.94 
1459 39.7516609 -1.6611892 0.500468 0.499569 69.37355 0.4000 12.92 
1458 39.9212087 -1.7555421 0.500804 0.499340 16.74587 0.4000 12.92 
1457 40.1538868 -1.6668496 0.500619 0.499446 115.00514 0.4000 12.91 
1456 39.8903841 -1.4540156 0.501250 0.499023 144.87378 0.4000 12.91 
1455 39.8236654 -1.5306074 0.501020 0.499117 105.86184 0.4000 12.90 
1454 40.1410745 -1.3815123 0.500406 0.499631 42.49340 0.4000 12.89 
1453 39.9174151 -1.6650038 0.502226 0.498383 33.38840 0.4000 12.88 
1452 39.9783146 -1.3349893 0.500502 0.499576 2.27123 0.4000 12.87 
1451 39.7805958 -1.6113619 0.500665 0.499397 79.67315 0.4000 12.87 
1450 39.7323254 -1.3848497 0.500297 0.499727 127.57800 0.4000 12.86 
1449 40.1570867 -1.4969562 0.500616 0.499441 67.76272 0.4000 12.86 
1448 40.0142829 -1.7587854 0.500816 0.499347 166.16226 0.4000 12.84 
1447 39.9497837 -1.7431410 0.500993 0.499218 8.12171 0.4000 12.82 
1446 39.9368854 -1.7994810 0.500563 0.499525 9.47630 0.4000 12.82 
1445 39.9366370 -1.7887756 0.500617 0.499484 10.02335 0.4000 12.82 
1444 40.1015023 -1.4015911 0.500564 0.499501 38.36678 0.4000 12.82 
1443 39.7004106 -1.7312446 0.500278 0.499739 60.87577 0.4000 12.82 
1442 39.9635704 -1.6229658 0.509039 0.496716 10.32677 0.4000 12.79 
1441 40.1330049 -1.7260823 0.500554 0.499512 131.26278 0.4000 12.80 
1440 40.1494227 -1.5055275 0.500677 0.499389 69.18641 0.4000 12.79 
1439 39.9830808 -1.7958612 0.500601 0.499502 177.01169 0.4000 12.79 
1438 39.7344013 -1.4897053 0.500417 0.499616 109.07098 0.4000 12.77 
1437 39.7550567 -1.7230623 0.500390 0.499640 56.70625 0.4000 12.76 
1436 39.8065465 -1.3986691 0.500472 0.499582 135.82318 0.4000 12.75 
1435 39.8542997 -1.5525671 0.501593 0.498684 100.19997 0.4000 12.74 
1434 39.9138420 -1.7603694 0.500748 0.499378 18.50786 0.4000 12.72 
1433 39.6997935 -1.4640920 0.500314 0.499708 111.51030 0.4000 12.71 
1432 39.8745140 -1.6882794 0.501144 0.499048 42.56894 0.4000 12.71 
1431 39.8337044 -1.6161561 0.501147 0.499008 74.29260 0.4000 12.70 
1430 39.6888169 -1.3314409 0.500203 0.499810 129.96995 0.4000 12.69 
