Field,IAU,RA,Dec,F500,e_F500
CS-Abell-370,2HERMES S500 SF J023949.5-013719,39.956512,-1.6222199,4.8199897,0.9077266
CS-Abell-370,2HERMES S500 SF J023949.6-013544,39.95702,-1.5956873,12.565466,0.9152477
CS-Abell-370,2HERMES S500 SF J023950.1-012907,39.959152,-1.4855154,6.6458397,1.1434114
CS-Abell-370,2HERMES S500 SF J023951.1-013445,39.963192,-1.5791879,5.9643784,0.8228045
CS-Abell-370,2HERMES S500 SF J023951.3-013347,39.96409,-1.5631753,4.387003,0.764594
CS-Abell-370,2HERMES S500 SF J023951.9-013031,39.96643,-1.5087341,16.267557,1.1097021
CS-Abell-370,2HERMES S500 SF J023951.9-013209,39.96666,-1.5359983,68.285736,0.81585157
CS-Abell-370,2HERMES S500 SF J023951.9-013600,39.96665,-1.600137,63.276474,0.8641911
CS-Abell-370,2HERMES S500 SF J023952.0-014329,39.967056,-1.7248526,12.244802,1.8986247
CS-Abell-370,2HERMES S500 SF J023952.4-013745,39.96846,-1.6294013,20.442425,0.88402975
CS-Abell-370,2HERMES S500 SF J023953.1-013507,39.971508,-1.5852973,19.121246,1.4674262
CS-Abell-370,2HERMES S500 SF J023954.0-013146,39.97503,-1.5294523,5.785584,0.88848126
CS-Abell-370,2HERMES S500 SF J023954.0-013328,39.97504,-1.5579976,24.770784,0.79391915
CS-Abell-370,2HERMES S500 SF J023955.8-012938,39.982708,-1.4939662,13.906315,1.3077449
CS-Abell-370,2HERMES S500 SF J023956.3-013139,39.984806,-1.5276476,33.27303,0.83299416
CS-Abell-370,2HERMES S500 SF J023957.0-013428,39.987507,-1.5746893,50.11263,0.8901263
CS-Abell-370,2HERMES S500 SF J023957.3-013711,39.988773,-1.6197704,30.469385,0.9488465
CS-Abell-370,2HERMES S500 SF J023957.7-014149,39.99051,-1.6972159,11.724956,2.144893
CS-Abell-370,2HERMES S500 SF J023957.8-012918,39.991104,-1.488485,13.030482,1.4150362
CS-Abell-370,2HERMES S500 SF J023958.0-013235,39.991684,-1.5432478,16.332666,0.91490775
CS-Abell-370,2HERMES S500 SF J023958.1-013458,39.992252,-1.582917,12.775782,0.90361553
CS-Abell-370,2HERMES S500 SF J023958.6-013259,39.99432,-1.5499024,12.751645,0.9492429
CS-Abell-370,2HERMES S500 SF J023959.3-012834,39.99712,-1.4762166,13.533326,1.1331226
CS-Abell-370,2HERMES S500 SF J023959.3-013128,39.99724,-1.5245912,7.5703254,1.2057465
CS-Abell-370,2HERMES S500 SF J023959.3-013626,39.9973,-1.6072525,16.725544,0.8627478
CS-Abell-370,2HERMES S500 SF J024000.2-013954,40.000885,-1.6651953,13.583138,1.4190629
CS-Abell-370,2HERMES S500 SF J024000.9-013536,40.004086,-1.5934392,9.796826,0.79705006
CS-Abell-370,2HERMES S500 SF J024002.0-012838,40.008568,-1.4774475,12.846601,1.2250402
CS-Abell-370,2HERMES S500 SF J024002.1-013114,40.00895,-1.5206461,7.4846277,2.1970074
CS-Abell-370,2HERMES S500 SF J024002.5-013220,40.010582,-1.5390648,18.053608,0.8342389
CS-Abell-370,2HERMES S500 SF J024002.9-013914,40.012367,-1.653976,32.158863,1.469341
CS-Abell-370,2HERMES S500 SF J024003.2-013950,40.01345,-1.6639493,22.329302,1.3459808
CS-Abell-370,2HERMES S500 SF J024003.7-013043,40.015617,-1.5121993,11.944088,1.0738875
