Field,IAU,RA,Dec,F350,e_F350
CS-Abell-370,2HERMES S350 SF J023913.5-013020,39.80642,-1.5056884,15.138043,1.6824237
CS-Abell-370,2HERMES S350 SF J023914.8-013058,39.811867,-1.5163143,20.985043,1.4969583
CS-Abell-370,2HERMES S350 SF J023915.5-013020,39.814754,-1.5058095,31.636759,1.4478269
CS-Abell-370,2HERMES S350 SF J023916.8-013229,39.82012,-1.541637,16.835567,1.5656232
CS-Abell-370,2HERMES S350 SF J023917.2-013108,39.821964,-1.5190183,17.41748,1.4455317
CS-Abell-370,2HERMES S350 SF J023918.4-012739,39.826687,-1.4610162,16.206764,1.7910477
CS-Abell-370,2HERMES S350 SF J023919.0-013146,39.82937,-1.5296187,19.389402,1.2683207
CS-Abell-370,2HERMES S350 SF J023919.9-013230,39.832954,-1.5417434,4.199607,1.2681386
CS-Abell-370,2HERMES S350 SF J023920.5-013505,39.835487,-1.584845,12.063158,1.642935
CS-Abell-370,2HERMES S350 SF J023920.7-013004,39.83652,-1.5011497,20.096354,1.204511
CS-Abell-370,2HERMES S350 SF J023921.0-013147,39.837673,-1.5298666,10.791954,1.2105408
CS-Abell-370,2HERMES S350 SF J023922.3-013420,39.843113,-1.5724431,10.022212,1.3542486
CS-Abell-370,2HERMES S350 SF J023923.0-013243,39.84625,-1.5454985,22.445557,1.1278231
CS-Abell-370,2HERMES S350 SF J023923.1-013332,39.846386,-1.5590745,13.363744,1.185253
CS-Abell-370,2HERMES S350 SF J023923.4-013614,39.847782,-1.6041505,25.212198,1.4016597
CS-Abell-370,2HERMES S350 SF J023923.8-012757,39.84944,-1.4658693,20.621456,1.4851313
CS-Abell-370,2HERMES S350 SF J023924.7-012937,39.853264,-1.4936991,21.380106,1.1094228
CS-Abell-370,2HERMES S350 SF J023924.8-013222,39.85362,-1.5396717,16.561491,1.0883303
CS-Abell-370,2HERMES S350 SF J023925.2-013250,39.85502,-1.5473559,6.6623693,1.0735067
CS-Abell-370,2HERMES S350 SF J023925.3-012814,39.855503,-1.4706489,21.911018,1.3197865
CS-Abell-370,2HERMES S350 SF J023925.3-013406,39.85571,-1.5685884,23.578924,1.3007143
CS-Abell-370,2HERMES S350 SF J023925.4-013125,39.85589,-1.5236664,6.538662,1.0104138
CS-Abell-370,2HERMES S350 SF J023925.7-012733,39.857388,-1.4593706,13.898778,1.5750952
CS-Abell-370,2HERMES S350 SF J023925.9-013843,39.857952,-1.6454964,17.615444,1.5125215
CS-Abell-370,2HERMES S350 SF J023926.1-013443,39.85904,-1.5786296,11.598437,1.1932071
CS-Abell-370,2HERMES S350 SF J023926.2-013354,39.85937,-1.5651461,9.312997,1.2451941
CS-Abell-370,2HERMES S350 SF J023926.6-012932,39.86113,-1.4924644,72.34169,1.1402913
CS-Abell-370,2HERMES S350 SF J023926.8-013516,39.861942,-1.587988,16.703321,1.1286169
CS-Abell-370,2HERMES S350 SF J023927.7-013039,39.86559,-1.5109233,7.514339,1.0276225
CS-Abell-370,2HERMES S350 SF J023927.7-014007,39.86582,-1.6686962,16.692762,1.4629846
CS-Abell-370,2HERMES S350 SF J023927.8-013741,39.86608,-1.6281,35.39974,1.1610023
CS-Abell-370,2HERMES S350 SF J023928.3-013530,39.867935,-1.5918764,9.619534,1.0948402
CS-Abell-370,2HERMES S350 SF J023928.8-012830,39.870075,-1.4752113,9.39621,1.3338786
CS-Abell-370,2HERMES S350 SF J023928.9-013233,39.87067,-1.5425218,21.443033,0.98261076
CS-Abell-370,2HERMES S350 SF J023929.0-013321,39.87118,-1.5559624,8.388945,0.96143925
CS-Abell-370,2HERMES S350 SF J023929.0-013600,39.871136,-1.6001116,16.911955,1.0585724
CS-Abell-370,2HERMES S350 SF J023929.5-012925,39.873146,-1.4903884,15.134742,1.1074079
CS-Abell-370,2HERMES S350 SF J023929.5-013048,39.873,-1.5133953,12.477486,0.95768523
CS-Abell-370,2HERMES S350 SF J023929.7-012852,39.874058,-1.4813515,15.992188,1.2370884
CS-Abell-370,2HERMES S350 SF J023930.1-013014,39.87575,-1.5041482,9.933222,1.0010263
CS-Abell-370,2HERMES S350 SF J023930.3-013231,39.876465,-1.5421593,28.893892,0.9923369
CS-Abell-370,2HERMES S350 SF J023930.7-013345,39.877956,-1.5625404,15.1996975,0.90146345
CS-Abell-370,2HERMES S350 SF J023930.8-012713,39.878513,-1.4536862,19.847126,1.605276
CS-Abell-370,2HERMES S350 SF J023931.0-012927,39.87954,-1.4908334,32.511242,1.1637746
CS-Abell-370,2HERMES S350 SF J023931.2-013739,39.880096,-1.6275524,20.74055,1.0338299
CS-Abell-370,2HERMES S350 SF J023931.4-013633,39.88085,-1.6092913,15.070118,0.9529121
CS-Abell-370,2HERMES S350 SF J023931.5-012843,39.881546,-1.4786854,33.325302,1.1797279
CS-Abell-370,2HERMES S350 SF J023931.5-013310,39.881363,-1.5528216,5.6811366,0.87075645
CS-Abell-370,2HERMES S350 SF J023931.6-012755,39.881798,-1.4654064,38.789333,1.4453007
CS-Abell-370,2HERMES S350 SF J023932.0-013403,39.883514,-1.5676717,22.568117,0.9173528
CS-Abell-370,2HERMES S350 SF J023932.2-013820,39.884583,-1.63909,12.754841,1.1076891
CS-Abell-370,2HERMES S350 SF J023932.4-013045,39.885223,-1.5126994,36.151466,0.9512512
CS-Abell-370,2HERMES S350 SF J023932.5-013102,39.88561,-1.5172243,0,12.523935
CS-Abell-370,2HERMES S350 SF J023932.8-013657,39.887,-1.6160814,8.377547,0.89800024
CS-Abell-370,2HERMES S350 SF J023933.2-013601,39.888668,-1.6004484,5.356393,0.8556352
CS-Abell-370,2HERMES S350 SF J023933.8-013148,39.89113,-1.5301496,6.8790836,0.8663556
CS-Abell-370,2HERMES S350 SF J023933.9-013414,39.891594,-1.5707673,10.857347,0.8575895
CS-Abell-370,2HERMES S350 SF J023934.2-012838,39.892624,-1.4774536,28.551458,1.2957625
CS-Abell-370,2HERMES S350 SF J023934.2-014455,39.89291,-1.7487806,21.925823,2.298595
CS-Abell-370,2HERMES S350 SF J023934.6-013018,39.894173,-1.5051625,12.397207,0.9713111
CS-Abell-370,2HERMES S350 SF J023934.7-013926,39.89469,-1.6573763,12.777208,0.97416866
CS-Abell-370,2HERMES S350 SF J023934.8-013829,39.895004,-1.6415906,23.891312,0.97652304
CS-Abell-370,2HERMES S350 SF J023934.9-012910,39.89551,-1.4863212,10.307257,1.1121323
CS-Abell-370,2HERMES S350 SF J023935.0-013616,39.89587,-1.6046249,9.692121,0.8290748
CS-Abell-370,2HERMES S350 SF J023935.1-014023,39.89626,-1.6732129,13.490153,1.0580895
CS-Abell-370,2HERMES S350 SF J023935.2-013502,39.896675,-1.5839429,4.932622,0.80223536
CS-Abell-370,2HERMES S350 SF J023935.3-013740,39.897335,-1.6279941,34.493034,0.9014856
CS-Abell-370,2HERMES S350 SF J023935.6-012741,39.898647,-1.4616407,10.9467125,1.4746835
CS-Abell-370,2HERMES S350 SF J023936.0-013312,39.90019,-1.5534636,38.295994,0.80311376
CS-Abell-370,2HERMES S350 SF J023936.2-013416,39.90116,-1.571388,15.073061,0.7907704
CS-Abell-370,2HERMES S350 SF J023936.3-013236,39.901653,-1.5436051,13.566913,0.75637937
CS-Abell-370,2HERMES S350 SF J023936.5-012853,39.902134,-1.4814726,33.852276,1.2332883
CS-Abell-370,2HERMES S350 SF J023936.6-012815,39.902645,-1.4710441,26.79326,1.5192606
CS-Abell-370,2HERMES S350 SF J023936.6-013718,39.902775,-1.6217741,12.768744,0.8225594
CS-Abell-370,2HERMES S350 SF J023936.7-013353,39.90294,-1.5648721,12.489217,0.7852844
CS-Abell-370,2HERMES S350 SF J023936.7-013615,39.903023,-1.6043186,6.8451414,0.824113
CS-Abell-370,2HERMES S350 SF J023936.7-013851,39.903328,-1.6475966,17.142187,0.9018365
CS-Abell-370,2HERMES S350 SF J023936.8-013755,39.90371,-1.6319541,5.6903167,0.9576455
CS-Abell-370,2HERMES S350 SF J023936.9-014205,39.90406,-1.7014616,23.594568,1.1333137
CS-Abell-370,2HERMES S350 SF J023937.3-014414,39.905766,-1.7372648,11.112206,1.5336536
CS-Abell-370,2HERMES S350 SF J023937.4-012930,39.906136,-1.4918412,20.505123,1.0226911
CS-Abell-370,2HERMES S350 SF J023937.6-014511,39.90686,-1.7531627,21.3672,1.7278951
CS-Abell-370,2HERMES S350 SF J023937.8-013039,39.907825,-1.5109036,7.4481077,0.9597036
CS-Abell-370,2HERMES S350 SF J023937.8-013315,39.907696,-1.5541743,33.91569,0.91185135
CS-Abell-370,2HERMES S350 SF J023937.8-013816,39.90791,-1.6378676,5.199083,0.96880966
CS-Abell-370,2HERMES S350 SF J023937.9-014056,39.908066,-1.682383,14.295543,0.98890775
CS-Abell-370,2HERMES S350 SF J023938.0-012900,39.908432,-1.4833677,22.22352,1.228059
CS-Abell-370,2HERMES S350 SF J023938.0-013512,39.908382,-1.5867492,17.750399,0.73475844
CS-Abell-370,2HERMES S350 SF J023938.1-012802,39.908978,-1.4674536,19.098024,1.3641006
