Field,IAU,RA,Dec,F250,e_F250
CS-Abell-370,2HERMES S250 SF J023932.5-013821,39.88562,-1.6392615,0,9.804609
CS-Abell-370,2HERMES S250 SF J023932.7-012849,39.886456,-1.4804662,0,8.66147
CS-Abell-370,2HERMES S250 SF J023933.0-013111,39.887867,-1.5198877,0,7.48994
CS-Abell-370,2HERMES S250 SF J023933.1-013400,39.888123,-1.5668005,0,10.128494
CS-Abell-370,2HERMES S250 SF J023933.1-014446,39.88799,-1.7461517,35.760693,2.4171882
CS-Abell-370,2HERMES S250 SF J023933.2-013701,39.88835,-1.6171963,7.3514404,0.93408287
CS-Abell-370,2HERMES S250 SF J023933.5-013150,39.889767,-1.5307138,4.259998,0.84672636
CS-Abell-370,2HERMES S250 SF J023933.5-013600,39.88959,-1.6002727,0,4.012294
CS-Abell-370,2HERMES S250 SF J023933.8-013749,39.89103,-1.6302779,0,6.3246574
CS-Abell-370,2HERMES S250 SF J023934.2-012836,39.89281,-1.4769123,0,8.155246
CS-Abell-370,2HERMES S250 SF J023934.4-013414,39.893623,-1.5705829,0,5.282112
CS-Abell-370,2HERMES S250 SF J023934.5-013037,39.8939,-1.5105233,6.240278,0.9326548
CS-Abell-370,2HERMES S250 SF J023934.5-013642,39.8938,-1.6118006,0,1.4360522
CS-Abell-370,2HERMES S250 SF J023934.6-012907,39.894566,-1.4855182,0,6.1227837
CS-Abell-370,2HERMES S250 SF J023934.6-013015,39.894382,-1.5042189,13.167111,0.92030054
CS-Abell-370,2HERMES S250 SF J023934.6-013829,39.894245,-1.6414765,0,11.957158
CS-Abell-370,2HERMES S250 SF J023934.7-013927,39.894978,-1.6576797,19.02132,1.0806377
CS-Abell-370,2HERMES S250 SF J023934.9-014338,39.895752,-1.727296,0,3.687388
CS-Abell-370,2HERMES S250 SF J023935.1-013616,39.896454,-1.6046181,10.84786,0.8310599
CS-Abell-370,2HERMES S250 SF J023935.1-014020,39.89638,-1.6723032,27.833933,1.0223807
CS-Abell-370,2HERMES S250 SF J023935.2-013301,39.89705,-1.5505109,0,14.334657
CS-Abell-370,2HERMES S250 SF J023935.2-013740,39.89679,-1.627932,35.21891,0.960292
CS-Abell-370,2HERMES S250 SF J023935.3-014306,39.897446,-1.7184354,5.7638764,1.4423708
CS-Abell-370,2HERMES S250 SF J023935.5-014242,39.898067,-1.7117779,0,4.7769175
CS-Abell-370,2HERMES S250 SF J023935.6-013311,39.89874,-1.5531448,24.146275,0.78568715
CS-Abell-370,2HERMES S250 SF J023936.2-013626,39.901024,-1.6073623,0,5.7451677
CS-Abell-370,2HERMES S250 SF J023936.3-013235,39.90127,-1.5430638,0,7.3351617
CS-Abell-370,2HERMES S250 SF J023936.3-013416,39.901505,-1.5712417,0,7.900542
CS-Abell-370,2HERMES S250 SF J023936.4-012814,39.901764,-1.4707503,0,7.323488
CS-Abell-370,2HERMES S250 SF J023936.4-012853,39.90202,-1.4816123,5.3364024,0.9979771
CS-Abell-370,2HERMES S250 SF J023936.5-013318,39.902493,-1.5552074,27.24152,0.7743667
CS-Abell-370,2HERMES S250 SF J023936.6-013724,39.902813,-1.6234664,0,9.66603
CS-Abell-370,2HERMES S250 SF J023936.6-013846,39.902668,-1.6461922,0,11.413812
CS-Abell-370,2HERMES S250 SF J023936.8-013858,39.9035,-1.6496032,0,9.8825035
CS-Abell-370,2HERMES S250 SF J023937.1-014204,39.90499,-1.7011923,22.33154,1.1901909
CS-Abell-370,2HERMES S250 SF J023937.2-013605,39.905304,-1.6015909,4.0460777,0.80285364
CS-Abell-370,2HERMES S250 SF J023937.5-013658,39.906475,-1.616167,0,4.9942045
CS-Abell-370,2HERMES S250 SF J023937.7-012929,39.907177,-1.4916507,2.8426623,0.9979771
CS-Abell-370,2HERMES S250 SF J023937.8-012805,39.907642,-1.4680958,22.090405,1.2519705
CS-Abell-370,2HERMES S250 SF J023937.9-013510,39.908142,-1.5862942,31.685339,0.7758379
CS-Abell-370,2HERMES S250 SF J023938.0-012857,39.90868,-1.4827408,0,7.997043
CS-Abell-370,2HERMES S250 SF J023938.0-013038,39.908733,-1.5105743,0,6.750581
CS-Abell-370,2HERMES S250 SF J023938.0-013310,39.908417,-1.5529757,0,19.418749
CS-Abell-370,2HERMES S250 SF J023938.1-012711,39.909016,-1.4530926,0,4.889704
CS-Abell-370,2HERMES S250 SF J023938.1-013747,39.909065,-1.6298101,0,8.992488
CS-Abell-370,2HERMES S250 SF J023938.1-014056,39.909122,-1.6824322,17.287573,1.0463101
CS-Abell-370,2HERMES S250 SF J023938.2-013117,39.909363,-1.5216082,14.840033,1.123062
CS-Abell-370,2HERMES S250 SF J023938.4-013143,39.910385,-1.5288793,0,6.1898475
CS-Abell-370,2HERMES S250 SF J023938.5-013323,39.91072,-1.5565617,43.254833,0.74233484
CS-Abell-370,2HERMES S250 SF J023938.7-014438,39.91141,-1.7439158,20.362755,1.898443
CS-Abell-370,2HERMES S250 SF J023938.9-013528,39.91218,-1.5911366,48.91971,0.72933745
CS-Abell-370,2HERMES S250 SF J023938.9-013825,39.912144,-1.6405145,37.10636,0.89060843
CS-Abell-370,2HERMES S250 SF J023939.0-012814,39.91253,-1.4707825,0,10.833481
CS-Abell-370,2HERMES S250 SF J023939.2-013343,39.91369,-1.562184,0,15.445326
CS-Abell-370,2HERMES S250 SF J023939.3-013004,39.9139,-1.5011783,0,7.870565
CS-Abell-370,2HERMES S250 SF J023939.3-013838,39.913845,-1.6440402,0,13.80857
