#Nsample
#Chi2
#O1 : x (arcsec)
#O1 : y (arcsec)
#O1 : emass
#O1 : theta (deg)
#O1 : rc (arcsec)
#O1 : sigma (km/s)
#O2 : x (arcsec)
#O2 : y (arcsec)
#O2 : emass
#O2 : theta (deg)
#O2 : rc (arcsec)
#O2 : sigma (km/s)
#O3 : sigma (km/s)
#O3 : rcut (arcsec)
#O4 : sigma (km/s)
#O4 : rcut (arcsec)
#Redshift of 3.0
#Redshift of 4.0
#Redshift of 5.0
#Redshift of 6.0
#Redshift of 7.0
#Redshift of 8.0
#Redshift of 9.0
#Pot sigma (km/s)
1 123.124134 1.072384 -1.067908 0.169554 -101.605106 6.343954 617.597470 1.762462 27.501185 0.320410 -96.035816 23.153259 1292.093719 180.560674 6.462190 100.673278 5.419065 1.613207 1.273089 1.295751 1.071225 1.611422 2.541952 1.578490 192.264488 
1 113.342594 1.239175 -0.635813 0.324569 -98.608438 6.320994 597.349850 1.525165 26.431781 0.336867 -95.771982 22.453437 1271.074900 159.430913 9.293364 102.634824 5.348942 1.723403 1.317329 1.278800 1.091847 2.199567 2.843286 1.650233 197.166300 
1 115.071445 1.138531 -0.417794 0.393269 -101.690584 5.814567 553.262776 1.447100 25.831225 0.335910 -95.508817 23.040168 1301.054621 211.027736 8.938792 127.785692 1.654693 1.688755 1.311488 1.316193 1.083385 2.437066 2.734713 1.636353 200.517814 
1 117.006948 1.286971 -0.227911 0.342614 -100.369790 6.200199 579.797209 1.521069 25.604064 0.342635 -96.070278 21.884689 1260.601402 198.523026 7.419552 107.394426 4.720481 1.821858 1.330177 1.297396 1.098101 2.207123 2.984214 1.702207 206.651636 
1 129.564669 1.312740 -0.393896 0.276786 -99.431986 6.227101 580.302100 1.476898 26.177364 0.335201 -95.736277 23.914850 1314.720019 171.710579 8.927402 113.156562 1.426963 1.623492 1.256103 1.280249 1.069250 2.106542 2.429035 1.553491 201.202058 
1 113.956343 1.301155 -0.541952 0.360521 -100.106422 6.081638 577.643297 1.416750 26.572977 0.313420 -95.844070 22.799465 1287.006308 214.342088 8.373230 121.593870 4.926919 1.705785 1.317248 1.286539 1.091943 2.198291 2.726625 1.659379 198.727103 
1 124.071579 1.314046 0.336903 0.393991 -101.870514 5.870631 587.995806 1.308224 26.762579 0.312894 -95.850967 22.608476 1270.463289 157.177319 7.168793 128.082834 3.488201 1.717009 1.316179 1.305134 1.092388 2.590805 2.743051 1.652064 213.927505 
1 122.348755 0.854882 -1.452981 0.222045 -100.179575 5.910529 590.075037 1.667104 26.619173 0.320691 -95.934365 23.944882 1326.293173 116.296393 9.432834 99.728617 3.779535 1.596906 1.264372 1.246868 1.064798 1.862040 2.443483 1.549642 183.966854 
1 116.535570 1.133883 -0.575462 0.336092 -103.528998 6.027663 555.198276 1.382100 25.410734 0.321946 -95.375439 22.627426 1297.353648 225.721144 8.840421 123.763244 2.961903 1.737110 1.300325 1.315032 1.085900 2.084304 2.753799 1.634576 199.884564 
1 123.989136 1.679458 -1.333398 0.201203 -105.594719 6.619978 588.470767 1.277607 25.836161 0.325209 -96.579080 22.774237 1291.437214 176.285431 8.836156 112.361804 2.980412 1.716172 1.284764 1.282668 1.079601 1.758138 2.605953 1.586689 208.875401 
2 122.476875 0.999061 -1.001325 0.162196 -101.141424 6.455571 618.159447 1.829068 27.482996 0.324913 -96.067860 23.199601 1293.905811 182.954739 6.700413 99.991475 5.421266 1.615031 1.270750 1.287796 1.066773 1.592742 2.541535 1.578245 191.351156 
2 117.731840 1.109488 -0.635190 0.332951 -98.525923 6.260201 595.571625 1.537034 26.545586 0.334216 -95.809601 22.589184 1273.752963 157.254726 9.435671 104.386550 5.532620 1.727049 1.320003 1.276081 1.092607 2.202372 2.864790 1.654754 195.986531 
2 117.240438 1.224354 -0.447017 0.385394 -102.138613 5.822896 555.484397 1.399284 25.868300 0.335343 -95.312476 23.052907 1300.682382 212.938526 8.977628 128.191088 1.242027 1.685151 1.312869 1.316944 1.083677 2.426392 2.720571 1.627356 201.471701 
2 117.677971 1.351622 -0.351456 0.295356 -101.267436 6.261299 580.284030 1.504832 25.557873 0.342692 -96.271341 21.962126 1264.803426 200.746967 7.258597 106.486666 4.613952 1.806451 1.320345 1.297782 1.092668 2.053416 2.910617 1.678856 207.536589 
2 134.633355 1.153990 -0.455695 0.267155 -99.289068 6.319564 584.179005 1.620339 26.449469 0.337504 -96.061482 23.675787 1309.139298 170.250887 8.797374 110.200329 1.728033 1.619529 1.261504 1.272670 1.068949 2.085427 2.427218 1.556397 200.151769 
2 116.946746 1.264396 -0.509990 0.345176 -100.072631 6.188678 578.908729 1.385319 26.576501 0.311793 -95.867333 22.926582 1290.613846 209.456040 8.642454 120.675474 4.909841 1.690460 1.316566 1.288699 1.087958 2.143468 2.685584 1.649233 197.842557 
2 125.682578 1.285905 0.308160 0.378521 -101.953471 5.935462 593.258471 1.387789 26.844044 0.313298 -95.885481 22.666203 1270.763415 154.125421 7.055881 124.433150 3.724952 1.704678 1.311047 1.303819 1.087797 2.538386 2.744417 1.644283 212.303336 
2 120.540081 0.876878 -1.533645 0.210419 -100.621444 5.872858 588.646365 1.658579 26.573849 0.318462 -96.024446 23.840841 1327.743391 118.387755 9.044681 98.046125 3.854572 1.584897 1.251938 1.249143 1.063048 1.814541 2.406787 1.530768 183.523737 
