   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME
  6304    37.697  -226.082   228.386     0.190     0.194     1.072      0.08  -431819.2  764841.7
  6303    78.422  -358.109   365.721     0.096     0.097     1.021      0.02  -622282.0  574378.9
  6302   465.088   793.221   919.417     0.022     0.022     1.002      0.00  -1035968.0  160692.9
  6301  -623.905  -681.384   924.263     0.020     0.020     1.001      0.00  -1061672.8  134988.1
  6300  -827.093   834.134  1176.001     0.013     0.013     1.001      0.00  -1173160.3   23500.7
  6299  -615.188  -159.811   636.666     0.037     0.037     1.003      0.00  -877540.3       0.0
  6298  -382.467  -263.958   465.391     0.064     0.064     1.008      0.01  -730232.8  147307.5
  6297  -294.551   509.126   589.360     0.048     0.048     1.005      0.01  -810595.9   66944.4
  6296   -97.248   729.942   737.175     0.034     0.034     1.004      0.00  -916804.6  -39264.4
  6295   739.261   864.774  1137.349     0.014     0.014     1.001      0.00  -1151434.8  -273894.6
  6294  -555.042   538.346   774.566     0.028     0.028     1.002      0.00  -956769.4  -79229.1
  6293  -217.834  -126.599   252.726     0.158     0.160     1.041      0.04  -468359.2  409181.1
  6292   301.498   830.490   883.682     0.024     0.024     1.002      0.00  -1012291.2  -134750.9
  6291   -57.066   -82.098   100.198     0.467     0.529     1.442      0.40  -181470.2  696070.1
  6290   718.000  -399.573   820.296     0.024     0.024     1.001      0.00  -1005124.8  -127584.5
  6289  -531.591   440.298   691.618     0.034     0.034     1.002      0.00  -901392.2       0.0
  6288  -165.934  -418.565   450.143     0.070     0.070     1.012      0.01  -712534.6  188857.6
  6287  -798.724  -849.989  1166.787     0.013     0.013     1.001      0.00  -1180712.7  -279320.5
  6286   697.873  -421.924   814.108     0.024     0.024     1.001      0.00  -1001454.8  -100062.6
  6285    64.536  -864.524   866.217     0.023     0.023     1.002      0.00  -1027947.8  -126555.6
  6284  -743.911  -242.843   783.545     0.026     0.026     1.001      0.00  -979667.5  -78275.3
  6283  -668.026   -57.669   671.708     0.034     0.034     1.002      0.00  -902278.9    -886.7
  6282   366.284  -315.106   481.816     0.059     0.059     1.006      0.01  -750188.0  151204.2
  6281  -473.184  -622.149   781.914     0.027     0.027     1.002      0.00  -977486.5  -76094.2
  6280   830.039   495.198   965.775     0.019     0.019     1.001      0.00  -1072523.0  -171130.7
  6279   645.524  -655.172   918.433     0.019     0.019     1.001      0.00  -1061478.0       0.0
  6278  -578.636  -170.380   604.228     0.041     0.041     1.003      0.00  -852483.9  208994.1
  6277   527.799   586.874   788.923     0.028     0.028     1.002      0.00  -960703.0  100775.0
  6276  -509.649  -524.721   731.917     0.030     0.030     1.002      0.00  -945389.6  116088.4
  6275   383.877   870.560   951.503     0.021     0.021     1.002      0.00  -1052180.7    9297.3
  6274   283.527   567.040   633.970     0.044     0.044     1.005      0.01  -841796.0  219682.0
  6273   490.812   358.383   607.084     0.044     0.044     1.004      0.00  -834011.9  227466.1
  6272   863.915   -62.333   864.865     0.022     0.022     1.001      0.00  -1027886.4   33591.7
  6271   550.374   356.283   654.915     0.038     0.038     1.003      0.00  -873644.3  187833.7
  6270   778.829  -888.101  1179.932     0.012     0.012     1.000      0.00  -1188730.2  -127252.2
  6269  -631.985  -785.236  1008.272     0.017     0.017     1.001      0.00  -1105546.2       0.0
  6268   345.547   503.195   610.220     0.046     0.046     1.005      0.01  -825886.7  279659.5
  6267   -16.299   327.641   328.732     0.143     0.144     1.044      0.05  -513892.5  591653.7
  6266   598.397  -194.746   627.904     0.038     0.038     1.003      0.00  -873090.6  232455.5
  6265  -122.784   519.445   534.654     0.060     0.060     1.009      0.01  -753871.5  351674.7
  6264   591.351   403.109   714.990     0.033     0.033     1.002      0.00  -917069.2  188477.0
  6263    23.358  -602.244   602.028     0.043     0.043     1.006      0.01  -849043.3  256502.9
  6262   107.818  -542.911   552.660     0.049     0.049     1.007      0.01  -809403.2  296142.9
  6261   214.416  -595.817   632.214     0.039     0.039     1.004      0.00  -874776.4  230769.7
  6260  -369.251    95.477   382.765     0.089     0.089     1.011      0.01  -630650.6  474895.6
  6259  -142.569   803.757   817.135     0.028     0.028     1.003      0.00  -971113.9       0.0
  6258  -473.704   705.343   850.866     0.024     0.024     1.002      0.00  -1000080.9  -28967.0
  6257   673.195   637.198   926.454     0.021     0.021     1.001      0.00  -1045913.4  -74799.4
  6256   366.870  -134.616   389.395     0.083     0.083     1.010      0.01  -652060.5  319053.4
  6255  -257.325   543.594   602.524     0.047     0.047     1.005      0.01  -819387.9  151726.0
  6254  -112.205  -303.054   323.015     0.118     0.119     1.031      0.03  -566979.5  404134.5
  6253  -384.678   445.232   589.687     0.047     0.047     1.004      0.00  -816664.7  154449.3
  6252  -553.461  -711.057   901.348     0.021     0.021     1.001      0.00  -1048655.3  -77541.4
  6251   214.829    54.076   220.467     0.198     0.202     1.057      0.06  -395674.6  575439.4
  6250  -427.098  -543.995   691.911     0.033     0.033     1.003      0.00  -917312.5   53801.4
  6249   147.006   769.217   783.515     0.030     0.030     1.003      0.00  -947636.3       0.0
  6248  -724.305   368.257   813.947     0.025     0.025     1.001      0.00  -988957.4  -41321.1
  6247  -867.770   584.331  1047.557     0.016     0.016     1.001      0.00  -1116175.8  -168539.5
  6246   183.747  -897.844   915.593     0.020     0.020     1.002      0.00  -1056541.7  -108905.4
  6245  -194.769   886.632   908.650     0.022     0.022     1.002      0.00  -1027437.9  -79801.6
  6244    65.887   169.646   182.122     0.336     0.357     1.224      0.22  -268944.8  678691.5
  6243  -352.463  -368.687   510.479     0.055     0.055     1.007      0.01  -772358.6  175277.7
  6242  -370.184   510.504   631.836     0.042     0.042     1.004      0.00  -848681.6   98954.7
  6241   781.315   372.750   864.813     0.023     0.023     1.001      0.00  -1017840.6  -70204.3
  6240  -607.175  -334.265   693.905     0.032     0.032     1.002      0.00  -920058.3   27578.0
  6239   886.281  -366.977   957.855     0.018     0.018     1.001      0.00  -1082354.1       0.0
  6238  -714.646   643.773   963.202     0.019     0.019     1.001      0.00  -1069829.8   12524.3
  6237   456.918   103.362   467.377     0.065     0.065     1.007      0.01  -721446.4  360907.7
  6236  -779.524    69.389   783.911     0.026     0.026     1.001      0.00  -976611.6  105742.5
  6235   -60.634   534.831   539.018     0.060     0.060     1.010      0.01  -755857.0  326497.1
  6234  -865.928   563.262  1034.394     0.016     0.016     1.001      0.00  -1109898.1  -27544.0
  6233  -355.946  -875.090   944.609     0.019     0.019     1.001      0.00  -1071291.7   11062.3
  6232   475.850   151.630   498.419     0.059     0.059     1.006      0.01  -748964.7  333389.4
  6231  -768.960  -200.185   795.649     0.025     0.025     1.001      0.00  -987049.8   95304.3
  6230   880.823  -731.386  1143.528     0.013     0.013     1.000      0.00  -1173032.3  -90678.2
  6229   335.326  -314.046   458.080     0.064     0.064     1.007      0.01  -727005.5       0.0
  6228   304.210   545.824   624.808     0.045     0.045     1.005      0.01  -835415.7  -108410.2
  6227   640.899   103.161   648.009     0.037     0.037     1.002      0.00  -880131.2  -153125.7
  6226   214.372  -693.653   725.059     0.031     0.031     1.003      0.00  -941037.6  -214032.1
  6225   265.354   698.010   746.884     0.033     0.033     1.003      0.00  -924461.9  -197456.3
  6224   569.974   -85.973   575.088     0.044     0.044     1.003      0.00  -828752.2  -101746.7
  6223  -634.681    60.530   638.870     0.038     0.038     1.002      0.00  -875455.7  -148450.2
  6717  -269.031   520.693   587.217     0.049     0.049     1.006      0.01  -807319.9       0.0
  6716   811.403  -666.809  1048.878     0.015     0.015     1.001      0.00  -1128877.8  -321557.9
  6715   291.968   678.966   739.158     0.033     0.033     1.004      0.00  -919712.7  -112392.8
  6714  -456.819   304.495   550.389     0.051     0.051     1.004      0.00  -791123.8   16196.0
  6713  -175.641  -657.592   680.369     0.035     0.035     1.004      0.00  -907562.3  -100242.4
  6712  -745.349  -193.282   771.061     0.027     0.027     1.001      0.00  -971418.7  -164098.9
  6711   666.637   810.409  1049.050     0.017     0.017     1.001      0.00  -1108367.2  -301047.3
  6710  -788.716   898.442  1196.816     0.013     0.013     1.001      0.00  -1181343.1  -374023.2
  6709   455.853  -321.962   556.704     0.047     0.047     1.004      0.00  -817400.9       0.0
  6708   877.992  -568.062  1044.344     0.015     0.015     1.001      0.00  -1126699.7  -309298.7
  6707   756.006  -723.305  1044.950     0.016     0.016     1.001      0.00  -1126822.4  -309421.4
  6706  -338.853   519.216   621.212     0.044     0.044     1.004      0.00  -838639.9  -21238.9
  6705   -99.842   645.369   653.854     0.042     0.042     1.005      0.01  -854937.3  -37536.4
  6704   394.224    87.455   402.718     0.083     0.083     1.010      0.01  -652586.8  164814.1
  6703   679.531  -777.908  1031.616     0.016     0.016     1.001      0.00  -1119999.3  -302598.3
  6702   733.910  -182.360   754.859     0.028     0.028     1.001      0.00  -962161.8  -144760.9
  6701   179.615   274.495   327.875     0.135     0.136     1.035      0.04  -523672.5  293728.5
  6700   716.960  -411.707   825.363     0.024     0.024     1.001      0.00  -1008195.8  -190794.9
  6699   842.076   492.126   974.567     0.019     0.019     1.001      0.00  -1077395.6       0.0
  6698  -520.614   838.541   988.201     0.019     0.019     1.001      0.00  -1077398.2      -2.6
  6697   755.312   286.153   806.747     0.026     0.026     1.001      0.00  -984428.5   92967.2
  6696  -735.603   207.438   765.669     0.028     0.028     1.001      0.00  -961912.3  115483.4
  6695   217.798   803.460   832.730     0.027     0.027     1.003      0.00  -980123.0   97272.6
  6694   207.217  -703.699   732.624     0.030     0.030     1.003      0.00  -946000.8  131394.9
  6693   380.903  -564.721   679.956     0.034     0.034     1.003      0.00  -911880.7  165514.9
  6692  -457.733  -360.145   583.033     0.044     0.044     1.004      0.00  -835603.0  241792.7
  6691  -446.296  -608.620   754.959     0.029     0.029     1.002      0.00  -959993.5  117402.2
  6690  -522.259   882.390  1026.537     0.017     0.017     1.001      0.00  -1097002.3  -19606.7
  6689  -205.652   -25.814   208.435     0.205     0.210     1.061      0.06  -388831.9       0.0
  6688   105.610  -711.295   718.294     0.032     0.032     1.003      0.00  -935316.7  -546484.8
  6687   126.392   837.601   847.512     0.026     0.026     1.003      0.00  -988662.8  -599830.9
  6686   253.933  -485.620   546.872     0.049     0.050     1.006      0.01  -806876.0  -418044.1
  6685   851.484   845.060  1199.194     0.013     0.013     1.001      0.00  -1180947.7  -792115.8
  6684   245.524  -412.612   478.961     0.061     0.061     1.008      0.01  -745708.0  -356876.1
  6683   677.431  -299.215   739.170     0.029     0.029     1.002      0.00  -953240.6  -564408.7
  6682  -288.197    81.337   300.832     0.129     0.131     1.023      0.02  -523796.2  -134964.3
  6681    72.360  -486.621   491.173     0.061     0.061     1.010      0.01  -753842.5  -365010.6
  6680   423.965  -117.745   438.636     0.069     0.070     1.007      0.01  -704267.4  -315435.5
  6679  -136.743   550.727   568.356     0.054     0.054     1.008      0.01  -784910.9       0.0
  6678   564.242  -247.035   614.551     0.040     0.040     1.003      0.00  -863562.8  -78651.8
  6677  -776.013  -445.276   895.468     0.021     0.021     1.001      0.00  -1046593.3  -261682.4
  6676  -662.031   354.822   752.522     0.029     0.029     1.002      0.00  -948805.2  -163894.3
  6675   253.587   897.366   932.767     0.022     0.022     1.002      0.00  -1040034.7  -255123.7
  6674  -218.305    98.246   240.793     0.181     0.184     1.046      0.05  -425140.6  359770.4
  6673   832.128   182.542   850.823     0.023     0.023     1.001      0.00  -1014625.3  -229714.3
  6672   241.147  -220.325   325.296     0.110     0.110     1.020      0.02  -576699.7  208211.2
  6671  -307.463  -527.250   610.445     0.042     0.042     1.005      0.01  -855852.0  -70941.1
  6670  -170.372   506.972   535.825     0.059     0.060     1.008      0.01  -757073.1   27837.8
  6669  -862.554   341.995   929.275     0.020     0.020     1.001      0.00  -1058188.2       0.0
  6668   -31.527   -50.611    59.779     0.723     1.047     2.441      0.97  -90906.6  967281.6
  6667  -221.940   664.850   701.904     0.036     0.036     1.004      0.00  -894479.0  163709.2
  6666   459.446   436.727   633.414     0.042     0.042     1.004      0.00  -851005.4  207182.9
  6665   126.661  -399.958   418.564     0.078     0.078     1.014      0.01  -682476.1  375712.1
  6664   426.038  -457.188   623.614     0.039     0.039     1.003      0.00  -871018.1  187170.1
  6663  -832.285  -772.784  1136.232     0.014     0.014     1.001      0.00  -1167266.5  -109078.2
  6662   479.633  -325.489   578.260     0.044     0.044     1.004      0.00  -835339.6  222848.7
  6661  -463.085  -716.050   852.906     0.023     0.023     1.002      0.00  -1020466.2   37722.1
  6660  -612.258  -561.475   831.237     0.024     0.024     1.002      0.00  -1008708.2   49480.1
  6659  -479.432   410.112   632.267     0.041     0.041     1.003      0.00  -855949.8       0.0
  6658   532.483   173.498   559.036     0.049     0.049     1.004      0.00  -803810.8   52139.0
  6657  -197.598   -98.436   221.608     0.189     0.193     1.056      0.06  -417220.6  438729.2
  6656   520.972  -530.643   742.312     0.029     0.029     1.002      0.00  -955664.8  -99715.0
  6655   865.419  -653.390  1082.999     0.015     0.015     1.001      0.00  -1145234.3  -289284.6
  6654  -744.007   -64.541   747.998     0.029     0.029     1.002      0.00  -955207.9  -99258.1
  6653   737.254  -472.844   874.465     0.021     0.021     1.001      0.00  -1037106.9  -181157.1
  6652  -743.647  -395.257   842.980     0.023     0.023     1.001      0.00  -1016308.3  -160358.6
  6651   342.727    36.257   343.458     0.105     0.105     1.016      0.02  -585403.1  270546.7
  6650   608.002   354.453   703.008     0.034     0.034     1.002      0.00  -910555.2  -54605.4
  6649  -240.220  -700.494   740.358     0.030     0.030     1.003      0.00  -949165.5       0.0
  6648    39.889   137.886   143.795     0.472     0.535     1.474      0.42  -185452.4  763713.1
  6647   236.248  -276.877   362.683     0.094     0.094     1.016      0.02  -622790.2  326375.4
  6646   550.077  -329.232   639.680     0.037     0.037     1.003      0.00  -883458.5   65707.0
  6645   305.066  -572.864   647.891     0.037     0.037     1.003      0.00  -887729.9   61435.6
  6644  -369.877  -539.058   653.951     0.037     0.037     1.004      0.00  -889465.9   59699.6
  6643   502.604   765.012   915.175     0.022     0.022     1.002      0.00  -1034480.4  -85314.9
  6642  -871.591    49.036   874.258     0.022     0.022     1.001      0.00  -1031774.3  -82608.8
  6641  -499.512  -362.320   617.732     0.040     0.040     1.003      0.00  -863417.6   85747.9
  6640   412.834  -867.764   959.861     0.018     0.018     1.001      0.00  -1081947.1  -132781.6
  6639  -436.543  -662.558   793.616     0.026     0.026     1.002      0.00  -984520.1       0.0
  6638   605.774   781.967   988.883     0.019     0.019     1.001      0.00  -1076696.7  -92176.7
  6637  -812.090  -662.775  1048.797     0.016     0.016     1.001      0.00  -1126410.3  -141890.3
  6636   -98.784  -571.617   579.692     0.047     0.047     1.007      0.01  -830256.8  154263.3
  6635   360.641  -377.607   520.842     0.053     0.053     1.005      0.01  -785914.0  198606.1
  6634  -660.788  -509.761   835.179     0.024     0.024     1.001      0.00  -1011363.5  -26843.4
  6633    36.241  -827.057   827.176     0.025     0.025     1.002      0.00  -1004680.3  -20160.2
  6632  -389.471   617.861   731.565     0.033     0.033     1.003      0.00  -921413.5   63106.5
  6631  -269.335  -254.158   370.810     0.093     0.093     1.016      0.02  -627805.0  356715.1
  6630   833.844  -603.495  1027.940     0.016     0.016     1.001      0.00  -1118667.4  -134147.4
  6629   405.403  -486.560   632.038     0.038     0.038     1.003      0.00  -877193.9       0.0
  6628  -857.913  -252.202   895.245     0.021     0.021     1.001      0.00  -1046211.5  -169017.5
  6627  -769.687   -60.412   773.257     0.027     0.027     1.001      0.00  -971618.8  -94424.9
  6626   704.714  -346.357   783.828     0.026     0.026     1.001      0.00  -982367.9  -105174.0
  6625   635.437  -669.332   921.607     0.020     0.020     1.001      0.00  -1063128.0  -185934.1
  6624    35.593  -315.735   316.978     0.122     0.123     1.032      0.03  -560486.9  316707.0
  6623  -673.285  -182.684   698.677     0.032     0.032     1.002      0.00  -922857.0  -45663.1
  6622   504.201  -884.029  1016.545     0.017     0.017     1.001      0.00  -1111511.0  -234317.1
  6621   546.843   -48.269   547.665     0.049     0.049     1.004      0.00  -804316.1   72877.8
  6620   598.696   -64.328   600.828     0.042     0.042     1.003      0.00  -848966.3   28227.6
  6619  -339.022   155.903   374.551     0.095     0.095     1.013      0.01  -614872.4       0.0
  6618   598.266   412.140   725.806     0.032     0.032     1.002      0.00  -924488.3  -309615.8
  6617  -189.160   158.855   248.376     0.183     0.186     1.050      0.05  -423962.1  190910.3
  6616  -197.407  -483.864   522.484     0.055     0.055     1.008      0.01  -781391.8  -166519.3
  6615    52.972   323.566   328.287     0.145     0.147     1.046      0.05  -512621.2  102251.2
  6614   676.352  -577.824   888.210     0.021     0.021     1.001      0.00  -1044879.0  -430006.6
  6613   620.927  -841.282  1044.367     0.016     0.016     1.001      0.00  -1125889.0  -511016.6
  6612   147.680   677.567   693.816     0.038     0.038     1.005      0.01  -884412.6  -269540.2
  6611   223.541   -54.859   228.807     0.179     0.182     1.045      0.05  -429163.2  185709.2
  6610   879.804  -302.588   928.995     0.019     0.019     1.001      0.00  -1066527.2  -451654.8
  6609   104.668  -552.871   561.848     0.048     0.048     1.006      0.01  -817075.3       0.0
  6608  -269.784  -600.194   657.989     0.037     0.037     1.004      0.00  -891655.3  -74580.0
  6607   864.154   466.816   981.373     0.018     0.018     1.001      0.00  -1081735.3  -264659.9
  6606  -696.289  -650.731   953.525     0.019     0.019     1.001      0.00  -1077729.1  -260653.8
  6605  -424.775    72.872   432.322     0.073     0.073     1.008      0.01  -688361.9  128713.4
  6604  -374.707  -616.582   721.633     0.031     0.031     1.003      0.00  -937318.6  -120243.3
  6603   392.915   878.518   962.437     0.020     0.020     1.002      0.00  -1058269.4  -241194.1
  6602  -151.778  -161.662   222.155     0.194     0.197     1.067      0.07  -419471.7  397603.6
  6601   289.097  -839.820   887.190     0.021     0.021     1.002      0.00  -1041494.2  -224418.9
  6600    36.271  -804.319   804.459     0.026     0.026     1.002      0.00  -990792.3  -173717.0
  6599   315.709   825.495   883.940     0.024     0.024     1.002      0.00  -1012635.6       0.0
  6598  -406.099   199.539   453.874     0.070     0.070     1.007      0.01  -702841.1  309794.5
  6597  -196.008   146.556   246.117     0.183     0.186     1.049      0.05  -423177.2  589458.4
  6596  -163.059    59.617   175.008     0.266     0.276     1.105      0.11  -307876.2  704759.4
  6595   326.076  -890.224   947.048     0.019     0.019     1.001      0.00  -1074536.8  -61901.2
  6594  -427.752    63.485   433.770     0.073     0.073     1.008      0.01  -690439.3  322196.2
  6593   912.455  -795.313  1209.057     0.012     0.012     1.000      0.00  -1201625.1  -188989.5
  6592  -416.287   576.576   712.390     0.034     0.034     1.003      0.00  -909461.6  103174.0
  6591   908.937  -562.831  1067.691     0.015     0.015     1.001      0.00  -1137941.9  -125306.3
  6590  -533.253  -842.977   997.627     0.017     0.017     1.001      0.00  -1099647.1  -87011.6
  6589   875.498  -791.532  1178.915     0.012     0.012     1.000      0.00  -1188597.2       0.0
  6588   197.798    22.223   197.866     0.223     0.229     1.071      0.07  -361437.9  827159.4
  6587   654.927    28.711   654.330     0.036     0.036     1.002      0.00  -887450.1  301147.2
  6586  -435.637  -858.676   962.877     0.019     0.019     1.001      0.00  -1081253.1  107344.2
  6585  -861.710   466.857   981.450     0.018     0.018     1.001      0.00  -1084152.6  104444.6
  6584   480.217   558.648   736.334     0.032     0.032     1.003      0.00  -924599.3  263997.9
  6583  -887.541   766.713  1174.207     0.013     0.013     1.000      0.00  -1173689.7   14907.6
  6582   891.007  -415.274   981.629     0.017     0.017     1.001      0.00  -1094933.5   93663.8
  6581   -20.765   794.379   795.306     0.030     0.030     1.003      0.00  -955473.0  233124.3
  6580   445.906   636.074   776.592     0.030     0.030     1.003      0.00  -949561.1  239036.1
  6579  -818.638   220.110   849.086     0.023     0.023     1.001      0.00  -1014181.0       0.0
  6578  -107.840  -423.825   437.039     0.075     0.075     1.014      0.02  -698822.5  315358.5
  6577   -11.526  -542.620   542.149     0.052     0.052     1.008      0.01  -798911.6  215269.4
  6576   549.147   376.573   665.178     0.038     0.038     1.003      0.00  -880572.8  133608.2
  6575  -157.613    73.042   175.116     0.270     0.280     1.109      0.11  -303812.1  710368.9
  6574  -218.078   209.789   303.940     0.139     0.140     1.030      0.03  -506921.2  507259.8
  6573  -283.190   635.349   696.684     0.036     0.036     1.003      0.00  -892794.7  121386.3
  6572   718.616   149.610   732.923     0.030     0.030     1.002      0.00  -939908.0   74273.0
  6571  -562.680  -265.159   622.899     0.039     0.039     1.003      0.00  -867577.8  146603.2
  6570   589.523  -416.283   720.300     0.030     0.030     1.002      0.00  -941200.7   72980.3
  6569   386.529   635.945   744.079     0.032     0.032     1.003      0.00  -925939.9       0.0
  6568   883.888   336.770   944.921     0.019     0.019     1.001      0.00  -1065034.4  -139094.5
  6567  -471.886  -739.871   877.697     0.022     0.022     1.002      0.00  -1034827.0  -108887.1
  6566  -859.122   835.975  1200.060     0.013     0.013     1.000      0.00  -1184131.3  -258191.4
  6565  -405.852   285.448   497.566     0.061     0.061     1.006      0.01  -741429.7  184510.3
  6564   190.382  -346.183   393.930     0.084     0.084     1.014      0.02  -657418.9  268521.0
  6563   226.050   -13.690   225.174     0.186     0.189     1.048      0.05  -417316.5  508623.4
  6562  -654.376   415.442   776.506     0.028     0.028     1.002      0.00  -962969.4  -37029.5
  6561  -484.031   166.132   513.137     0.056     0.056     1.005      0.01  -764708.8  161231.1
  6560   822.626   824.235  1164.061     0.014     0.014     1.001      0.00  -1165123.6  -239183.7
  6559   537.265   374.756   654.382     0.039     0.039     1.003      0.00  -872119.4       0.0
  6558  -850.653  -578.256  1029.276     0.016     0.016     1.001      0.00  -1117041.7  -244922.3
  6557   491.182  -514.078   709.694     0.031     0.031     1.002      0.00  -933623.7  -61504.3
  6556   392.966  -506.743   639.996     0.037     0.037     1.003      0.00  -883015.8  -10896.4
  6555   181.951  -590.399   616.837     0.041     0.041     1.005      0.01  -862505.5    9613.9
  6554  -180.756   553.978   583.703     0.051     0.051     1.007      0.01  -800017.2   72102.2
  6553   835.708  -209.023   860.083     0.022     0.022     1.001      0.00  -1027094.7  -154975.3
  6552    58.610   753.897   756.696     0.033     0.033     1.004      0.00  -929086.8  -56967.4
  6551  -740.896   141.515   755.639     0.028     0.028     1.001      0.00  -956781.9  -84662.5
  6550    35.094   837.827   839.132     0.027     0.027     1.003      0.00  -983374.1  -111254.7
  6549   722.329  -372.381   811.266     0.024     0.024     1.001      0.00  -999493.6       0.0
  6548  -630.160  -900.120  1098.991     0.015     0.015     1.001      0.00  -1149332.6  -149839.1
  6547  -583.690    80.119   590.492     0.043     0.043     1.003      0.00  -836456.8  163036.8
  6546   112.563   602.152   612.965     0.048     0.048     1.007      0.01  -820282.9  179210.6
  6545  -525.366  -550.583   761.438     0.028     0.028     1.002      0.00  -964829.1   34664.4
  6544  -176.794  -490.146   520.898     0.056     0.056     1.008      0.01  -779849.1  219644.4
  6543  -344.026  -646.803   732.645     0.031     0.031     1.003      0.00  -944521.2   54972.3
  6542   614.924   767.896   983.468     0.019     0.019     1.001      0.00  -1074134.6  -74641.0
  6541   892.357   230.793   920.661     0.020     0.020     1.001      0.00  -1053989.2  -54495.6
  6540   348.910   837.133   907.026     0.023     0.023     1.002      0.00  -1026614.3  -27120.8
  6539   153.904   665.692   683.576     0.039     0.039     1.005      0.01  -876811.8       0.0
  6538   702.182  -194.759   727.315     0.030     0.030     1.002      0.00  -944131.6  -67319.8
  6537  -631.072   372.363   734.135     0.031     0.031     1.002      0.00  -935403.9  -58592.1
  6536   837.369   585.604  1021.150     0.017     0.017     1.001      0.00  -1099884.5  -223072.7
  6535    93.484  -104.472   138.892     0.320     0.337     1.176      0.18  -269095.8  607716.1
  6534  -390.516   774.037   868.091     0.024     0.024     1.002      0.00  -1007781.6  -130969.8
  6533  -330.753   280.743   435.196     0.077     0.078     1.010      0.01  -674196.4  202615.4
  6532  -207.946  -681.008   711.822     0.032     0.032     1.004      0.00  -929743.3  -52931.5
  6531   461.689  -611.382   764.871     0.027     0.027     1.002      0.00  -969786.0  -92974.1
  6530    -0.496   645.769   646.393     0.044     0.044     1.006      0.01  -847498.4   29313.4
  6529   734.673  -643.392   975.221     0.018     0.018     1.001      0.00  -1091888.7       0.0
  6528  -822.899  -556.394   994.038     0.017     0.017     1.001      0.00  -1099307.9   -7419.3
  6527   420.756  -215.314   471.247     0.062     0.062     1.006      0.01  -739290.4  352598.3
  6526   130.864  -596.841   610.144     0.042     0.042     1.005      0.01  -856597.2  235291.5
  6525   350.351  -750.967   827.578     0.024     0.024     1.002      0.00  -1007438.6   84450.1
  6524   837.364   -17.869   836.286     0.023     0.023     1.001      0.00  -1010236.6   81652.1
  6523   841.745  -755.716  1129.863     0.013     0.013     1.001      0.00  -1166790.5  -74901.8
  6522     0.073  -203.458   202.840     0.226     0.233     1.101      0.10  -387612.7  704276.0
  6521   377.257    24.583   376.845     0.090     0.091     1.012      0.01  -627849.8  464038.9
  6520  -245.772  -653.930   698.451     0.033     0.033     1.004      0.00  -920578.0  171310.6
  6519  -544.027  -660.300   855.866     0.023     0.023     1.002      0.00  -1022725.5       0.0
  6518  -555.975  -767.985   948.341     0.019     0.019     1.001      0.00  -1074168.4  -51442.9
  6517  -288.074   837.530   886.685     0.023     0.023     1.002      0.00  -1016290.3    6435.2
  6516  -894.256   509.859  1030.791     0.016     0.016     1.001      0.00  -1109120.8  -86395.3
  6515   415.594   312.605   519.411     0.058     0.058     1.007      0.01  -756596.6  266129.0
  6514   607.268   407.978   730.894     0.032     0.032     1.002      0.00  -928359.2   94366.4
  6513  -532.753  -783.156   947.378     0.019     0.019     1.001      0.00  -1073527.4  -50801.9
  6512  -585.856   411.315   717.211     0.032     0.032     1.002      0.00  -921727.3  100998.2
  6511  -452.209   848.096   962.264     0.020     0.020     1.001      0.00  -1062154.0  -39428.4
  6510   392.277   295.996   490.796     0.064     0.064     1.008      0.01  -728997.0  293728.5
  6509  -886.362   106.646   894.075     0.021     0.021     1.001      0.00  -1042359.8       0.0
  6508   884.237  -834.510  1214.506     0.012     0.012     1.000      0.00  -1203863.9  -161504.2
  6507   315.057  -521.104   607.761     0.041     0.041     1.004      0.00  -857437.4  184922.3
  6506  -475.919  -851.398   975.456     0.018     0.018     1.001      0.00  -1087996.5  -45636.8
  6505   449.817  -325.126   553.633     0.047     0.047     1.004      0.00  -814806.9  227552.9
  6504   832.440     5.411   831.207     0.024     0.024     1.001      0.00  -1006737.1   35622.6
  6503  -876.482   777.800  1173.185     0.013     0.013     1.000      0.00  -1173000.5  -130640.8
  6502  -493.327  -322.071   589.865     0.043     0.043     1.004      0.00  -841380.4  200979.4
  6501  -420.631   206.377   469.932     0.066     0.066     1.007      0.01  -719274.5  323085.3
  6500   883.371   564.174  1047.437     0.016     0.016     1.001      0.00  -1114025.3  -71665.6
  6499   588.219   732.188   938.903     0.021     0.021     1.001      0.00  -1049844.8       0.0
  6498   904.185  -376.957   978.218     0.017     0.017     1.001      0.00  -1092987.6  -43142.8
  6497   145.557  -433.754   456.537     0.068     0.068     1.011      0.01  -721832.5  328012.3
  6496   298.015  -322.425   437.749     0.070     0.070     1.009      0.01  -706123.3  343721.5
  6495   230.735   835.060   866.617     0.025     0.025     1.002      0.00  -1001150.3   48694.4
  6494   763.546   705.541  1039.112     0.017     0.017     1.001      0.00  -1106117.2  -56272.4
  6493   863.294   584.403  1041.809     0.016     0.016     1.001      0.00  -1110653.9  -60809.1
  6492  -663.403  -370.924   760.851     0.028     0.028     1.002      0.00  -965311.2   84533.6
  6491   246.974   132.036   279.242     0.152     0.154     1.035      0.04  -478441.4  571403.3
  6490   231.553   259.144   347.153     0.119     0.120     1.026      0.03  -556729.5  493115.2
  6489  -603.537   664.980   899.333     0.022     0.022     1.001      0.00  -1032064.6       0.0
