#Nsample
#Chi2
#O1 : x
#O1 : y
#O1 : emass
#O1 : theta
#O1 : rc
#O1 : sigma
#O2 : emass
#O2 : theta
#O2 : rc
#O2 : sigma
#O2 : rcut
#O3 : emass
#O3 : theta
#O3 : sigma
#O3 : rcut
#Redshift of A3
#Redshift of 5a 51a
#Redshift of 41a
#Redshift of 42a
1 21.614248 59.564110 26.092973 0.687370 213.221984 181.999923 2126.594557 0.122423 58.085390 7.938687 624.736697 137.115924 0.264385 128.612014 149.851990 124.245685 1.167680 0.631079 1.874451 1.679732 
1 19.615759 57.573470 28.838393 0.550114 214.922310 157.035603 2010.963267 0.171573 39.013300 10.680172 677.797975 98.566440 0.226377 156.690337 154.982506 88.248292 1.169151 0.653347 1.541367 1.397688 
1 20.661743 67.134704 22.230319 0.518849 215.014150 189.534368 2283.370705 0.228112 38.986962 9.316443 636.455473 110.010205 0.336754 121.000443 145.142052 112.670123 1.153336 0.631842 1.796350 1.618556 
1 27.921942 25.549452 6.642315 0.680722 214.236432 165.084716 2002.070398 0.283651 32.655186 8.238259 635.147456 93.465313 0.314648 125.978628 158.869194 139.995834 1.024660 0.560487 1.779342 1.438250 
1 31.372371 7.354666 5.633146 0.699181 216.534566 125.337085 1727.018479 0.272343 22.405429 9.287734 663.216013 74.364730 0.386242 171.752329 166.982020 112.256357 0.988802 0.560614 1.679859 1.603120 
1 21.379582 57.519535 26.521216 0.691077 213.486264 177.455273 2129.641782 0.121912 59.093476 7.674475 618.050652 90.905112 0.373729 140.447620 158.961430 110.719048 1.152927 0.617766 1.934426 1.742114 
1 26.141445 58.505549 28.053305 0.698304 213.661952 177.684448 2055.661926 0.084171 59.112657 8.689583 647.023002 148.450840 0.165216 142.592200 159.719945 115.144916 1.169127 0.643963 1.675675 1.456550 
1 22.843305 18.356031 15.732409 0.721234 215.547705 131.691504 1804.125192 0.227819 22.503777 6.759003 598.890549 97.600690 0.231334 139.141425 159.998725 131.822758 1.038889 0.565272 2.104777 1.575419 
1 25.752233 46.285731 26.438526 0.726432 213.271992 163.871341 1970.290988 0.075304 78.412130 8.118272 641.352318 138.936165 0.161589 152.154789 162.155657 108.721044 1.142692 0.631831 1.738125 1.546520 
1 23.889223 68.909833 23.188981 0.688140 212.704400 206.032146 2245.507646 0.158036 65.149934 8.206700 637.221600 155.129882 0.220160 120.281437 155.478964 131.410430 1.164194 0.631940 1.749221 1.504697 
2 18.382735 67.093643 29.056057 0.581113 214.513168 171.871588 2134.027230 0.145724 45.656072 9.207422 640.943057 111.617040 0.314040 134.738789 150.281476 105.162197 1.188007 0.647383 1.808556 1.705018 
2 15.854667 64.590974 31.140029 0.545437 214.505987 163.076886 2076.119479 0.152558 43.014395 10.108566 659.813930 109.427249 0.227843 145.880786 148.142710 93.962313 1.188360 0.656763 1.658158 1.516921 
2 16.830003 60.732207 21.349611 0.540146 214.978710 185.007024 2262.063373 0.230808 40.516051 8.694215 625.220866 93.568879 0.395832 123.442915 148.578346 111.599011 1.137436 0.619760 1.868502 1.660383 
2 21.695359 38.776017 11.354916 0.604962 214.302423 172.539635 2099.731416 0.275500 35.267516 8.802931 642.337765 87.108623 0.329620 122.130512 152.767960 130.005709 1.069510 0.581429 1.767189 1.450603 
2 31.419207 8.149744 6.226372 0.699919 216.603491 126.577560 1745.741129 0.270539 23.293908 9.060731 654.602851 74.634669 0.374591 171.170972 166.223718 111.807381 0.989502 0.562002 1.676208 1.599037 
2 26.313021 54.368758 29.260793 0.690819 213.951791 165.120662 2053.760045 0.072474 60.932506 7.721354 622.531994 86.623532 0.321678 152.462765 162.819936 101.061354 1.156631 0.624395 1.904563 1.709579 
2 23.892656 60.221762 27.365533 0.654413 213.381828 177.834517 2091.744220 0.136914 50.199684 9.038465 643.796250 148.141019 0.187613 134.655322 154.622063 116.813811 1.171159 0.646062 1.705311 1.508630 
2 13.287954 19.413019 17.265990 0.716483 215.708234 128.689791 1791.517924 0.217592 17.402561 7.094918 604.331767 91.365341 0.237605 143.060793 163.222606 127.473170 1.045106 0.568428 2.148943 1.595863 
2 21.554653 43.191368 26.385872 0.744418 213.191389 159.945466 1922.531050 0.050894 77.806379 7.919880 638.802877 148.086762 0.127337 151.684073 162.749270 113.128078 1.137897 0.629785 1.746966 1.509563 
2 21.717484 66.924869 24.057870 0.676141 213.154853 199.286078 2213.044516 0.151639 66.089971 8.341780 643.428789 134.395123 0.238702 128.613543 154.534998 121.709572 1.164383 0.631887 1.721557 1.499118 
3 18.420517 69.205197 30.158391 0.605678 214.159186 174.709103 2138.435331 0.113468 54.068309 8.949945 639.991771 126.863447 0.269071 136.019497 150.912714 106.527166 1.194901 0.652826 1.788737 1.688168 
3 16.132524 62.839384 31.163676 0.527515 214.643792 158.182310 2055.692971 0.158493 38.923338 10.317924 663.564256 104.234183 0.240799 146.751074 147.288642 91.935348 1.187481 0.656557 1.668840 1.547098 
3 15.938312 60.411312 19.685826 0.528573 214.604854 188.376336 2275.710336 0.244638 40.671403 9.133103 633.265193 93.360379 0.396037 122.449438 146.854885 112.613742 1.130696 0.618888 1.817379 1.612073 
3 23.747082 35.235877 10.536712 0.599768 214.688057 165.070505 2051.081743 0.279650 35.055618 9.244112 651.261853 82.734193 0.329128 128.608129 153.257419 124.846023 1.060504 0.581412 1.699753 1.426386 
3 28.623481 8.132190 5.042612 0.696943 216.479827 130.421838 1771.306853 0.278845 22.810651 9.114744 656.229948 76.381608 0.359994 167.123657 165.421404 114.023871 0.983911 0.559614 1.656939 1.558174 
