#REFERENCE 3 248.9546040 66.2122420
1	-49.218750	-97.890481	-36.605323	-59.745884	
1	-49.261360	-97.851562	-36.596454	-59.725173	
2	-49.511719	-97.563059	-36.519243	-59.580704	
2	-49.514810	-97.558594	-36.517893	-59.578563	
3	-49.365234	-97.749441	-36.572102	-59.673851	
3	-49.403997	-97.705078	-36.560330	-59.651286	
4	-49.365234	-97.749441	-36.572102	-59.673851	
4	-49.261360	-97.851562	-36.596454	-59.725173	
5	-49.511719	-97.563059	-36.519243	-59.580704	
5	-49.403997	-97.705078	-36.560330	-59.651286	
6	-49.514810	-97.558594	-36.517893	-59.578563	
6	-49.605116	-97.412109	-36.471069	-59.509773	
7	-49.658203	-97.298662	-36.429897	-59.456587	
7	-49.605116	-97.412109	-36.471069	-59.509773	
8	-49.658203	-97.298662	-36.429897	-59.456587	
8	-49.673557	-97.265625	-36.418239	-59.442560	
9	-49.673557	-97.265625	-36.418239	-59.442560	
9	-49.728854	-97.119141	-36.362713	-59.381154	
10	-49.728854	-97.119141	-36.362713	-59.381154	
10	-49.767179	-96.972656	-36.302294	-59.323243	
11	-49.767179	-96.972656	-36.302294	-59.323243	
11	-49.791444	-96.826172	-36.238511	-59.270892	
12	-49.791444	-96.826172	-36.238511	-59.270892	
12	-49.804135	-96.679688	-36.173640	-59.226178	
13	-49.804688	-96.655034	-36.162351	-59.219255	
13	-49.804135	-96.679688	-36.173640	-59.226178	
14	-49.804688	-96.443222	-36.073910	-59.174105	
14	-49.803014	-96.386719	-36.053438	-59.166114	
15	-49.803014	-96.386719	-36.053438	-59.166114	
15	-49.793388	-96.240234	-36.006691	-59.152016	
16	-49.793388	-96.240234	-36.006691	-59.152016	
16	-49.781588	-96.093750	-35.976137	-59.146877	
17	-48.779297	-98.144935	-36.646147	-59.872920	
17	-48.632812	-98.188653	-36.649635	-59.892798	
18	-48.779297	-98.144935	-36.646147	-59.872920	
18	-48.780227	-98.144531	-36.646099	-59.872687	
19	-48.925781	-98.085292	-36.639703	-59.845789	
19	-48.780227	-98.144531	-36.646099	-59.872687	
20	-49.072266	-97.998328	-36.625882	-59.800321	
20	-49.072654	-97.998047	-36.625828	-59.800163	
21	-49.072266	-97.998328	-36.625882	-59.800321	
21	-48.925781	-98.085292	-36.639703	-59.845789	
22	-49.218750	-97.890481	-36.605323	-59.745884	
22	-49.072654	-97.998047	-36.625828	-59.800163	
23	-48.486328	-98.209590	-36.650045	-59.897233	
23	-48.339844	-98.207826	-36.649341	-59.886373	
24	-48.632812	-98.188653	-36.649635	-59.892798	
24	-48.486328	-98.209590	-36.650045	-59.897233	
25	-48.193359	-98.180460	-36.649517	-59.857924	
25	-48.102172	-98.144531	-36.651603	-59.825846	
26	-48.339844	-98.207826	-36.649341	-59.886373	
26	-48.193359	-98.180460	-36.649517	-59.857924	
27	-48.102172	-98.144531	-36.651603	-59.825846	
27	-48.046875	-98.123343	-36.653270	-59.809480	
28	-47.753906	-97.872861	-36.693289	-59.625960	
28	-47.738766	-97.851562	-36.697996	-59.611438	
29	-48.046875	-98.123343	-36.653270	-59.809480	
29	-47.900391	-98.027811	-36.664832	-59.736094	
30	-47.900391	-98.027811	-36.664832	-59.736094	
30	-47.868717	-97.998047	-36.669584	-59.713662	
31	-47.868717	-97.998047	-36.669584	-59.713662	
31	-47.753906	-97.872861	-36.693289	-59.625960	
32	-47.738766	-97.851562	-36.697996	-59.611438	
32	-47.651785	-97.705078	-36.734388	-59.516677	
33	-47.607422	-97.599871	-36.764959	-59.452757	
33	-47.591268	-97.558594	-36.777465	-59.429448	
34	-47.651785	-97.705078	-36.734388	-59.516677	
34	-47.607422	-97.599871	-36.764959	-59.452757	
35	-47.591268	-97.558594	-36.777465	-59.429448	
35	-47.547473	-97.412109	-36.825551	-59.351357	
36	-47.547473	-97.412109	-36.825551	-59.351357	
36	-47.518779	-97.265625	-36.878005	-59.282363	
37	-47.518779	-97.265625	-36.878005	-59.282363	
37	-47.501373	-97.119141	-36.933085	-59.224011	
38	-47.501373	-97.119141	-36.933085	-59.224011	
38	-47.491923	-96.972656	-36.988101	-59.177962	
39	-47.491923	-96.972656	-36.988101	-59.177962	
39	-47.487314	-96.826172	-37.039127	-59.145467	
40	-47.487314	-96.826172	-37.039127	-59.145467	
40	-47.484383	-96.679688	-37.080802	-59.126608	
41	-47.460938	-96.226766	-37.091190	-59.116343	
41	-47.449313	-96.093750	-37.054723	-59.108027	
42	-47.484383	-96.679688	-37.080802	-59.126608	
42	-47.480055	-96.533203	-37.106762	-59.119244	
43	-47.480055	-96.533203	-37.106762	-59.119244	
43	-47.472384	-96.386719	-37.111611	-59.118279	
44	-47.472384	-96.386719	-37.111611	-59.118279	
44	-47.461916	-96.240234	-37.093845	-59.116740	
45	-47.461916	-96.240234	-37.093845	-59.116740	
45	-47.460938	-96.226766	-37.091190	-59.116343	
46	-47.464732	-95.507812	-36.814921	-58.972122	
46	-47.460938	-95.541583	-36.830518	-58.984595	
47	-47.449313	-96.093750	-37.054723	-59.108027	
47	-47.440382	-95.947266	-37.002035	-59.088987	
48	-47.440382	-95.947266	-37.002035	-59.088987	
48	-47.438613	-95.800781	-36.941857	-59.059276	
49	-47.438613	-95.800781	-36.941857	-59.059276	
49	-47.446374	-95.654297	-36.878631	-59.019936	
50	-47.460938	-95.541583	-36.830518	-58.984595	
50	-47.446374	-95.654297	-36.878631	-59.019936	
51	-47.464732	-95.507812	-36.814921	-58.972122	
51	-47.491867	-95.361328	-36.750871	-58.915477	
