#REFERENCE 3 248.9546040 66.2122420
1	-48.046875	-89.348877	-35.419711	-53.110372	
1	-47.903923	-89.208984	-35.568564	-53.204346	
2	-48.046875	-89.071167	-35.355664	-53.455347	
2	-47.903923	-89.208984	-35.568564	-53.204346	
3	-48.188237	-89.208984	-35.153941	-53.271456	
3	-48.046875	-89.348877	-35.419711	-53.110372	
4	-48.188237	-89.208984	-35.153941	-53.271456	
4	-48.046875	-89.071167	-35.355664	-53.455347	
5	-47.297061	-53.027344	-27.889336	-25.038856	
5	-47.167969	-53.149026	-28.143213	-24.874285	
6	-47.167969	-53.149026	-28.143213	-24.874285	
6	-47.035896	-53.027344	-28.196594	-24.956524	
7	-47.167969	-52.919142	-28.076546	-25.104493	
7	-47.035896	-53.027344	-28.196594	-24.956524	
8	-47.297061	-53.027344	-27.889336	-25.038856	
8	-47.167969	-52.919142	-28.076546	-25.104493	
9	-50.976562	-53.464310	-29.380123	-26.480243	
9	-50.833429	-53.320312	-29.387229	-26.494499	
10	-50.976562	-53.177744	-29.300461	-26.624253	
10	-50.833429	-53.320312	-29.387229	-26.494499	
11	-46.889839	-49.804688	-26.830668	-24.413000	
11	-46.875000	-49.821142	-26.845938	-24.397352	
12	-46.889839	-49.804688	-26.830668	-24.413000	
12	-47.003056	-49.658203	-26.714015	-24.547428	
13	-47.021484	-49.626710	-26.693591	-24.574196	
13	-47.003056	-49.658203	-26.714015	-24.547428	
14	-47.098820	-49.511719	-26.623305	-24.676272	
14	-47.021484	-49.626710	-26.693591	-24.574196	
15	-47.098820	-49.511719	-26.623305	-24.676272	
15	-47.167843	-49.365234	-26.557034	-24.791993	
16	-47.167969	-49.364864	-26.556895	-24.792264	
16	-47.167843	-49.365234	-26.557034	-24.791993	
17	-47.236989	-49.218750	-26.506753	-24.901334	
17	-47.167969	-49.364864	-26.556895	-24.792264	
18	-47.236989	-49.218750	-26.506753	-24.901334	
18	-47.285107	-49.072266	-26.472550	-24.996589	
19	-47.314453	-48.944443	-26.452563	-25.069943	
19	-47.285107	-49.072266	-26.472550	-24.996589	
20	-47.321218	-48.925781	-26.450210	-25.080316	
20	-47.314453	-48.944443	-26.452563	-25.069943	
21	-47.321218	-48.925781	-26.450210	-25.080316	
21	-47.355684	-48.779297	-26.437244	-25.153421	
22	-47.355684	-48.779297	-26.437244	-25.153421	
22	-47.377555	-48.632812	-26.431871	-25.214943	
23	-47.377555	-48.632812	-26.431871	-25.214943	
